change_v1,change_v2,change_w0,change_w1,change_time,query_v1,query_v2,query_time
17860,17879,80.000000,776.814000,0.002977,5342.000000,21517.000000,0.000001
3348,4957,87.000000,30.500000,0.028120,10197.000000,15813.000000,0.000020
254,13621,95.000000,836.723000,0.004533,7850.000000,6948.000000,0.000023
12441,16706,88.000000,22.804000,0.014858,4838.000000,9784.000000,0.000017
2319,13890,66.000000,398.607000,0.001835,20888.000000,16238.000000,0.000012
5411,14478,92.000000,31.711000,0.027948,16506.000000,19947.000000,0.000012
10631,14277,53.000000,143.940000,0.004872,18200.000000,7360.000000,0.000017
1424,1471,86.000000,14.394000,0.044359,16546.000000,9567.000000,0.000026
5362,5371,54.000000,448.833000,0.004415,22192.000000,16031.000000,0.000005
1987,5847,91.000000,10.410000,0.030281,4397.000000,13855.000000,0.000013
1262,3571,86.000000,745.212000,0.003287,6358.000000,8620.000000,0.000022
1428,8136,80.000000,36.336000,0.019024,21566.000000,20286.000000,0.000004
1616,6221,86.000000,327.946000,0.013486,6671.000000,14950.000000,0.000013
15533,17446,37.000000,5.657000,0.004439,16081.000000,5855.000000,0.000011
15218,21532,73.000000,278.447000,0.037552,4587.000000,8394.000000,0.000022
10766,10770,66.000000,27.621000,0.018371,19956.000000,19421.000000,0.000002
20420,21483,50.000000,148.893000,0.002615,22555.000000,11739.000000,0.000021
1881,2218,97.000000,41.196000,0.013678,18116.000000,9256.000000,0.000013
5573,15668,79.000000,213.288000,0.001698,21072.000000,13876.000000,0.000013
935,7549,89.000000,34.949000,0.004838,8555.000000,6767.000000,0.000004
10311,13005,90.000000,794.799000,0.019223,4911.000000,15323.000000,0.000024
799,6278,73.000000,26.262000,0.023586,7644.000000,1718.000000,0.000011
14067,14079,38.000000,377.022000,0.001583,16013.000000,14339.000000,0.000017
4224,7984,95.000000,19.901000,0.005999,9703.000000,19018.000000,0.000011
1424,1442,95.000000,909.177000,0.007010,19912.000000,14259.000000,0.000014
4122,4123,33.000000,8.060000,0.003737,7698.000000,22469.000000,0.000002
2243,18844,77.000000,199.122000,0.012218,15339.000000,17732.000000,0.000017
9842,19206,91.000000,22.885000,0.011275,19088.000000,9625.000000,0.000010
18287,21325,62.000000,304.644000,0.000198,21713.000000,4437.000000,0.000015
12841,12842,66.000000,18.250000,0.005029,18442.000000,15617.000000,0.000014
14658,14665,41.000000,327.436000,0.002502,19290.000000,9108.000000,0.000020
579,8374,90.000000,38.167000,0.073176,1739.000000,16709.000000,0.000015
2188,2204,19.000000,146.650000,0.000167,16684.000000,11656.000000,0.000010
7713,7720,50.000000,22.051000,0.008466,11324.000000,18782.000000,0.000010
8284,8297,63.000000,141.892000,0.005320,19997.000000,9157.000000,0.000001
11953,11960,18.000000,8.618000,0.004676,18574.000000,21746.000000,0.000002
267,289,92.000000,688.696000,0.019182,17079.000000,7437.000000,0.000003
7376,16158,85.000000,21.692000,0.013211,3788.000000,12418.000000,0.000011
2160,9011,82.000000,488.246000,0.003138,11138.000000,18955.000000,0.000027
3401,3427,75.000000,21.229000,0.012436,11842.000000,17866.000000,0.000006
3880,16708,96.000000,803.649000,0.004786,15910.000000,20866.000000,0.000012
6149,16803,92.000000,16.025000,0.026964,5695.000000,10738.000000,0.000036
4446,7795,92.000000,625.472000,0.035816,19658.000000,12024.000000,0.000012
16623,18066,81.000000,38.188000,0.011045,6983.000000,5549.000000,0.000013
2742,7096,93.000000,623.945000,0.037121,15682.000000,5822.000000,0.000003
829,6134,92.000000,43.781000,0.007020,22858.000000,2587.000000,0.000002
1030,4425,93.000000,578.145000,0.010843,18746.000000,19827.000000,0.000015
8521,13511,94.000000,10.176000,0.011520,13369.000000,2544.000000,0.000013
16430,21877,67.000000,261.019000,0.027769,3343.000000,10075.000000,0.000015
10081,11623,50.000000,13.500000,0.054067,14717.000000,16877.000000,0.000028
512,1319,97.000000,961.012000,0.032217,5485.000000,776.000000,0.000005
14031,19480,73.000000,18.109000,0.019674,12486.000000,14316.000000,0.000023
5846,5858,93.000000,516.072000,0.012298,10518.000000,18081.000000,0.000018
3269,3270,55.000000,18.274000,0.031488,3861.000000,1208.000000,0.000004
57,2870,97.000000,794.326000,0.002740,3028.000000,3559.000000,0.000003
1440,13796,85.000000,37.801000,0.012495,14924.000000,11968.000000,0.000014
4315,15681,62.000000,524.493000,0.010682,14875.000000,3613.000000,0.000014
20073,20702,66.000000,21.870000,0.018521,2543.000000,13608.000000,0.000015
3129,6892,85.000000,299.735000,0.013096,17406.000000,15705.000000,0.000010
4187,17949,73.000000,34.678000,0.010828,2818.000000,20728.000000,0.000009
