change_v1,change_v2,change_w0,change_w1,change_time,query_v1,query_v2,query_time
5354,16412,100.000000,735.514000,0.028265,1671.000000,3528.000000,0.000014
23511,46597,94.000000,46.970000,0.030917,24143.000000,14729.000000,0.000025
2851,61233,100.000000,750.904000,0.138712,15906.000000,3614.000000,0.000006
28759,30053,100.000000,11.044000,0.113686,22827.000000,46400.000000,0.000025
10595,49728,100.000000,605.974000,0.115734,40770.000000,44105.000000,0.000085
9902,52604,100.000000,41.545000,0.556880,6715.000000,30312.000000,0.000039
12897,23288,100.000000,667.267000,0.081191,7517.000000,2784.000000,0.000019
26885,31976,100.000000,25.100000,0.605024,13006.000000,37976.000000,0.000020
55169,55330,100.000000,738.411000,0.211767,29355.000000,18168.000000,0.000046
3552,19880,97.000000,42.490000,0.309836,46324.000000,10502.000000,0.000066
3543,52136,100.000000,674.686000,0.242873,58948.000000,38699.000000,0.000073
22645,22647,100.000000,35.465000,0.475321,40704.000000,16062.000000,0.000147
41453,48376,100.000000,903.622000,0.126159,15204.000000,8495.000000,0.000017
29607,37480,100.000000,19.211000,0.378096,1024.000000,58578.000000,0.000010
3008,31674,100.000000,545.237000,0.167609,57416.000000,6750.000000,0.000010
57386,57564,95.000000,25.292000,0.529984,60667.000000,61836.000000,0.000029
32308,32611,100.000000,365.371000,0.108357,47076.000000,28107.000000,0.000051
28091,32924,100.000000,32.174000,0.487897,16343.000000,10524.000000,0.000010
39409,40337,100.000000,582.953000,0.295225,36751.000000,37931.000000,0.000031
30163,35284,97.000000,13.315000,0.392892,51500.000000,47129.000000,0.000194
10308,56263,100.000000,417.574000,0.113941,17130.000000,25869.000000,0.000041
28066,40867,95.000000,30.529000,0.298098,44512.000000,41056.000000,0.000053
43342,60018,100.000000,618.959000,0.125052,10893.000000,56265.000000,0.000039
10587,13701,100.000000,36.450000,0.301566,8431.000000,59282.000000,0.000076
33776,34429,100.000000,784.561000,0.059404,8504.000000,40481.000000,0.000017
