change_v1,change_v2,change_w0,change_w1,query_v1,query_v2,query_time
94586,135527,74,338.639,119240,321544,0.00003
418,94374,28,11.339,96679,52827,0.000026
4589,39257,3,24.593,167279,317396,0.000121
15671,53227,40,18.354,300118,298938,0.00001
56393,64346,91,841.921,105447,172966,0.000052
62943,96696,6,2.839,128177,284715,0.000112
47507,205399,88,691.345,292376,202247,0.000041
11666,77200,82,19.681,261249,298447,0.00002
21691,44152,36,247.921,98298,141864,0.000007
852,11109,92,37.223,142598,246308,0.000044
15290,76674,4,31.454,94682,108706,0.000034
49057,210016,58,20.53,286136,124637,0.000032
22743,109255,49,253.537,271550,230776,0.000031
89,449,20,7.486,210290,149477,0.000109
46124,77747,14,110.547,264018,236879,0.000029
15024,17802,79,21.382,43534,305739,0.000022
1175,85571,90,767.019,338498,152163,0.00002
18374,108046,55,23.366,326879,182419,0.000107
15073,96783,97,392.968,234817,68505,0.000049
43233,66390,36,6.439,126566,95932,0.000015
16057,82728,73,639.886,21275,3744,0.000016
27069,42324,9,4.306,235625,41213,0.000106
79011,132793,12,87.807,63177,238838,0.000082
70663,199323,100,23.305,279180,82736,0.000063
70663,93674,18,83.148,83778,270423,0.000021
3656,23752,66,11.254,37218,48461,0.000027
57709,71068,79,605.364,330645,266310,0.000056
2977,47146,39,13.8,53323,291067,0.000015
8598,43584,18,96.186,182439,188241,0.000031
93828,305211,29,12.515,34188,292093,0.000029
86172,292063,29,179.254,283823,29846,0.000059
11004,21733,43,13.745,271815,243253,0.000046
52497,157454,79,652.575,240290,314214,0.000026
3407,18252,93,33.458,310949,168823,0.000029
4254,89479,60,203.137,141793,325502,0.000024
8953,62483,82,31.716,149257,38895,0.000036
11956,78086,51,505.402,261678,247836,0.00006
1607,92043,19,9.476,72172,337201,0.000045
3542,24967,2,10.164,211341,183853,0.00009
5060,39306,17,7.837,288260,126147,0.000036
17785,76467,79,784.96,239111,312052,0.000068
70098,90841,9,2.933,271337,334941,0.00007
1098,20169,1,8.599,198535,333765,0.000034
10210,64414,47,5.348,240995,42704,0.000141
3598,87653,2,15.341,190426,65142,0.000109
22580,49837,25,4.591,150831,119772,0.000075
50199,213244,92,460.158,99841,329595,0.000034
1246,95938,64,19.078,221791,328236,0.000047
8079,74149,65,534.856,248399,18929,0.00004
18858,82193,42,14.365,204341,3702,0.000007
29731,85727,75,279.197,78179,317273,0.000069
2425,71736,48,8.677,8639,198799,0.000042
5060,30771,34,225.69,19007,57046,0.00002
51575,76674,58,22.908,100591,280722,0.000067
76731,113269,65,537.644,276946,174887,0.000044
3886,27069,66,10.937,337037,46185,0.000072
10915,73654,81,172.413,262204,80980,0.000045
30906,69457,1,0.267,249065,70919,0.000106
20156,93716,62,312.896,221643,260150,0.000034
31136,77909,19,6.614,45625,208882,0.000039
5944,12728,50,233.826,96370,3867,0.000005
6848,99756,29,11.117,15568,36880,0.000021
92258,141318,39,389.761,109971,297326,0.000153
98638,274579,14,3.021,191191,43108,0.00004
50565,51801,81,490.553,178563,158054,0.000066
35462,107710,55,11.697,1230,78824,0.000006
38489,50564,22,190.973,314844,249276,0.000094
18316,70806,11,2.475,55912,304341,0.000027
22070,49963,29,155.015,59218,230661,0.000021
25600,135337,99,21.535,73743,240093,0.000031
31078,95149,69,194.981,328091,147562,0.000077
17603,29845,40,4.883,304290,137702,0.000119
10053,68283,84,465.189,24643,51928,0.000015
16345,63147,10,4.914,320117,325057,0.000095
100512,139075,33,78.789,304258,199020,0.000065
44597,199948,54,24.332,220235,199608,0.000081
14706,94002,38,102.589,45292,85930,0.000034
3560,93164,18,6.408,245474,280182,0.000096
81668,272266,17,83.918,247991,297831,0.000033
26555,67883,50,8.93,24092,184618,0.000011
96485,273853,21,71.004,227197,244519,0.0001
48681,87911,81,28.324,73631,326054,0.000024
6959,53515,46,315.835,176327,243800,0.000114
61049,68642,11,4.683,314594,31631,0.000039
68368,259901,46,385.599,37248,170010,0.000086
51848,149786,64,7.304,142706,262070,0.000024
50666,96298,88,374.661,194913,326710,0.000056
27736,36995,4,1.205,38239,261012,0.000076
76963,78520,8,50.66,66248,243475,0.00005
75393,90612,22,10.571,274387,206048,0.000122
22517,100357,1,3.713,40806,66955,0.000064
5032,33032,32,3.93,285293,44802,0.00028
6959,54198,37,297.475,21601,164327,0.000041
10678,14587,23,9.749,179827,337836,0.00012
34428,96556,54,188.653,168454,68551,0.000138
53992,96653,39,11.829,120869,286814,0.000017
5060,36824,71,397.235,49323,137922,0.000059
72117,249201,15,7.322,205481,131819,0.000043
78522,275655,34,82.387,287918,163085,0.000046
46750,52403,35,8.707,237552,77860,0.000105
