change_v1,change_v2,change_w0,change_w1,query_v1,query_v2,query_time
911,10140,62,269.947,5480,7002,0.000003
16979,16981,86,35.264,13078,21150,0.000004
2513,3173,33,282.604,6770,23060,0.000003
20927,20928,90,37.223,8315,16840,0.000006
1426,13260,16,157.477,9634,9610,0.00001
12584,14805,35,17.468,2440,2640,0.000009
3938,7612,29,273.89,7950,4042,0.000004
29,1515,29,3.231,3780,17751,0.000007
17737,18437,80,396.477,3598,771,0.000008
22782,22784,27,8.629,22942,22104,0.000001
640,946,66,268.444,5841,7691,0.000003
6052,15661,67,21.275,5943,11396,0.000005
949,7536,25,207.775,6522,10853,0.000007
549,4511,85,29.621,20186,6679,0.000006
6102,12335,14,90.413,2249,6560,0.000005
2964,7980,88,18.943,13815,15597,0.000004
10085,11618,27,190.453,7845,16212,0.00001
50,55,10,2.025,7617,9085,0.000005
448,10433,20,165.595,560,7585,0.000005
132,155,65,9.694,18114,22930,0.000002
99,2896,77,460.153,4573,6503,0.000004
4228,16327,79,26.174,570,4851,0.000004
15618,18185,55,305.661,3601,11316,0.000004
1182,1355,98,42.862,11102,12378,0.000006
4910,20075,64,448.173,16063,22161,0.000006
20636,20643,70,28.38,22338,14280,0.000003
892,902,81,580.856,11820,21323,0.000003
1351,1372,22,4.16,16521,14883,0.00001
9613,14600,25,227.642,17145,15091,0.000009
8195,12714,12,3.683,20432,7507,0.000003
8672,11237,41,277.194,15382,3467,0.000005
10311,14364,86,23.149,1267,4298,0.000002
18782,18793,58,296.497,19581,22725,0.000001
1337,2111,88,39.207,10620,3889,0.000003
8997,13058,58,318.734,7350,8342,0.000003
7553,7555,97,33.053,14420,20928,0.000001
21855,21856,36,210.851,2726,14874,0.000007
4416,11492,10,2.211,13324,4217,0.000018
322,8403,86,236.806,13021,2063,0.00001
22322,22326,12,2.086,22482,14714,0.000004
6176,11035,28,246.572,8511,19340,0.000003
1595,5088,32,9.683,3211,10082,0.000012
2865,8981,80,631.454,10281,11494,0
8437,8443,72,35.985,20219,6062,0.000004
19542,19548,72,285.067,13771,19515,0.000008
1854,10369,11,4.562,2678,923,0.000007
3014,4718,79,268.354,18747,17813,0.000017
2321,2322,31,9.631,11007,11427,0.000005
2668,6450,40,300.018,21645,12551,0.000005
18342,18344,56,11.881,15340,1427,0.000003
5545,11880,41,355.617,16852,22521,0.000002
1217,1225,4,0.869,13497,20210,0.000003
20541,21900,94,831.2,6006,19028,0.000002
5500,11399,5,2.175,16051,9560,0.000007
1160,12406,26,239.138,4863,512,0.000003
7948,13589,79,31.573,13795,10081,0.000005
15037,16298,1,5.682,12500,3701,0.000003
9191,21053,17,7.195,16340,17410,0.000004
1563,4559,87,436.67,22869,5566,0.000006
2928,14753,81,32.122,4196,12408,0.000003
446,2728,100,781.678,1933,21227,0.000002
11351,19972,67,16.145,7205,12188,0.000002
13122,15426,15,131.342,15527,10218,0.000007
661,8178,23,8.224,9919,3629,0.000005
4123,19170,7,58.791,21570,15037,0.000009
15157,15158,24,8.267,22540,22481,0.000002
4631,8963,49,188.092,13919,15558,0.000008
3585,6427,81,37.363,19970,5946,0.000007
2827,2890,82,292.528,15049,9569,0.000006
17832,17837,34,15.556,14164,3619,0.000005
14418,14420,33,195.705,5641,22745,0.000003
5646,11778,55,8.252,11058,2590,0.000006
8073,8083,27,219.066,16947,5682,0.000003
1557,10208,21,3.049,1189,12319,0.000006
10447,11317,45,404.726,14292,13888,0.000001
661,9377,57,26.297,7856,21649,0.000004
11035,17509,60,444.737,8066,13966,0.000001
13786,13792,56,8.764,7154,4041,0.000003
769,825,38,331.335,22481,19307,0.000002
389,2426,61,23.93,861,9882,0.000005
564,8309,9,50.432,15342,4842,0.000004
7043,7059,47,22.283,11822,10021,0.000007
18350,20677,5,28.792,18128,8426,0.000012
1081,6965,38,13.075,4223,14724,0.000005
2514,5150,75,209.14,14617,13878,0.000006
6482,12778,26,5.973,19484,16854,0.000006
15046,15047,41,105.569,16691,6867,0.000004
6074,13990,97,32.535,18295,13190,0.000004
2025,2046,61,368.922,17737,9422,0.000005
3074,4627,90,25.592,7053,3196,0.000007
3077,3763,75,270.059,7725,16616,0.000003
20175,20177,51,22.602,6937,206,0.000001
20019,20020,86,540.902,15883,6627,0.000004
6484,6488,59,29.098,11979,9659,0.000007
2389,2410,20,103.633,14890,20349,0.000003
242,3905,20,2.994,9420,17375,0.000015
1053,1405,65,275.487,2862,1307,0.000008
8237,16718,49,6.185,18798,17657,0.000001
946,17722,39,214.381,13229,1618,0.000004
8070,8077,26,7.652,11863,3902,0.000007
