change_v1,change_v2,change_w0,change_w1,query_v1,query_v2,query_time
17453,41643,3,10.905,40452,49157,0.000017
1037,12925,86,33.688,19609,52439,0.000011
7841,15835,85,830.072,5253,19461,0.00001
5087,30176,29,6.069,474,6318,0.000003
20821,28078,12,114.17,15696,18289,0.000012
13934,25836,57,23.081,39096,29749,0.000048
29737,43345,94,610.634,46769,7957,0.000035
15579,15912,65,26.999,37136,18348,0.000046
9915,37665,69,614.058,27740,56189,0.000026
23490,24230,86,28.467,7223,52496,0.000021
60150,60196,42,403.014,41505,19054,0.000024
3163,10309,20,5.035,18092,24465,0.000061
41472,48918,81,211.868,19186,48126,0.000011
24859,43709,17,2.956,55434,8999,0.00002
15806,15817,21,59.172,5008,26053,0.000013
15767,33500,38,7.812,53928,14833,0.000027
18068,33529,94,930.51,12464,48576,0.000046
43643,44461,66,24.416,31389,23705,0.000017
9140,12964,96,494.999,8757,19924,0.000028
37237,39884,31,14.56,15805,59373,0.000027
50676,57498,79,743.667,34357,56578,0.000025
39801,49166,74,13.473,20285,13729,0.000031
2147,2158,88,583.569,33072,7374,0.000043
1540,1560,13,5.096,28232,13961,0.000039
7026,8523,15,142.58,18978,45985,0.000031
30298,30554,77,23.171,2632,50288,0.00003
4177,53391,13,118.275,10302,10166,0.000028
42053,45221,10,2.941,13701,12321,0.000068
20665,39801,98,642.914,54409,5190,0.000033
17343,38957,74,16.657,4729,55218,0.00003
6388,13348,18,124.21,43096,13492,0.000029
8082,28286,58,18.397,8115,40706,0.000012
16251,16262,36,295.818,33629,59521,0.000027
36319,41622,66,25.516,60691,12474,0.000029
10638,23262,27,194.683,10698,12483,0.000014
8670,9786,32,12.013,61168,30744,0.000028
729,28114,25,52.715,30064,47745,0.00002
14547,32667,80,23.821,12612,39782,0.000051
7389,20853,89,630.459,15653,22931,0.000026
40604,41295,33,4.24,56814,53129,0.000041
371,7398,15,61.761,2905,14419,0.000013
25353,30447,89,24.534,4835,51280,0.000014
12665,19998,61,243.701,33058,42898,0.000055
45244,52831,37,12.985,48681,9267,0.000033
6487,29927,39,212.12,41377,35342,0.000031
3711,54969,12,1.67,24447,48533,0.000046
56594,57996,62,397.94,51661,10821,0.000018
25803,26951,94,24.214,6099,45102,0.000036
3001,21254,31,287.879,12637,36576,0.000025
26890,51025,100,15.995,7716,37929,0.000036
9863,15095,17,104.794,27456,43155,0.00002
11328,60902,34,7.918,59989,39477,0.000098
17283,36437,18,53.891,51151,6495,0.000018
37299,51927,34,4.431,21431,59524,0.00004
15767,19292,56,217.213,6893,1141,0.000005
2030,14372,23,3.666,39139,4259,0.000026
23590,25822,27,145.981,33437,42410,0.000044
5542,32872,95,23.905,42773,3358,0.000016
15679,20697,54,228.909,61614,1029,0.000006
28225,40207,37,5.622,48004,53429,0.00011
2979,57021,95,497.404,3166,14233,0.000014
3804,10295,2,0.863,59863,3526,0.000042
19640,45065,56,462.098,57878,29001,0.000021
41310,47912,23,4.212,44117,15968,0.000077
8770,8896,25,168.372,9658,11516,0.000013
12672,22131,83,14.559,2377,18671,0.000011
5829,34051,65,494.093,34777,24138,0.000014
37206,42674,18,8.165,38638,56075,0.000015
37580,55788,34,267.365,19384,53923,0.000028
15037,58228,97,40.047,5107,212,0.000002
15512,60317,71,622.974,12281,11855,0.000028
8912,14650,1,0.398,5245,47936,0.000033
31974,40096,73,448.577,42729,21529,0.000031
8914,14537,23,9.312,4139,42867,0.000011
33728,34412,34,137.052,49463,37121,0.00005
5860,17393,84,16.827,12656,10274,0.000017
21442,29031,64,638.693,38343,21269,0.00001
4375,29224,57,25.259,17281,17897,0.000046
42304,48538,14,38.256,10501,55113,0.000031
7202,51877,73,30.624,42640,25256,0.000071
55673,55705,20,183.387,43889,58982,0.000018
29970,52269,76,25.756,57686,11056,0.000014
25837,37512,33,114.238,52029,55229,0.000038
26222,56199,82,35.172,40653,36855,0.000073
5579,61041,81,607.848,10746,34073,0.000017
15983,57527,4,1.082,53334,12902,0.000062
2813,5411,45,373.69,46797,20845,0.000013
13376,14867,26,7.057,34103,5817,0.000015
39061,51217,77,268.049,23244,48670,0.000024
31133,33027,19,6.222,2793,20346,0.000003
5637,51163,21,200.319,36419,23179,0.000035
23997,24987,6,2.028,55086,51321,0.000091
5083,30173,13,119.638,18144,33518,0.000008
20610,21314,61,21.83,4210,24284,0.000011
18711,34821,18,173.64,53147,37605,0.000068
398,431,7,1.416,12650,57376,0.000011
6169,6171,8,29.502,45401,53260,0.000068
6093,6097,62,26.301,44814,20857,0.000063
1044,12071,13,104.107,34584,18971,0.000008
6996,10850,64,10.872,35229,41189,0.000076
