change_v1,change_v2,change_w0,change_w1,query_v1,query_v2,query_time
203486,277792,67,631.195,1119470,1089473,0.000006
1621,1923,4,1.875,645630,885024,0.000037
1259,6222,96,370.263,147719,167395,0.000007
47835,299248,58,18.774,1137171,717941,0.000018
477,10701,62,185.457,515000,424267,0.00001
28507,267458,2,0.897,1220728,538060,0.000014
279381,384537,61,160.295,940299,643988,0.000041
478390,1164249,59,9.78,200926,1155465,0.000009
441734,723156,35,217.251,824040,197663,0.000095
262589,1085038,86,32.525,649241,1262226,0.000008
1591,150374,56,462.234,1207621,1144573,0.000013
321,10908,71,25.154,971356,58862,0.000004
88822,424760,48,218.811,536521,856627,0.000009
95576,182500,47,7.923,459535,878955,0.000019
219839,351611,60,508.215,892928,621416,0.000003
108,1559,82,36.82,943867,181734,0.000028
714222,1065775,7,17.593,866399,1335710,0.000007
627,218039,70,27.801,603016,938427,0.000015
1422,104812,67,163.237,899839,1290123,0.00004
255128,280998,77,8.699,45697,851919,0.000014
150610,443269,38,144.223,200319,502933,0.000028
1656,138908,41,18.078,995542,567276,0.000018
678563,1282231,56,236.566,44583,352124,0.000011
234698,340487,8,2.389,690097,211137,0.000067
15457,57393,22,75.507,1049194,950650,0.000016
86261,361576,99,45.533,626664,772914,0.000007
289486,365761,83,632.617,983890,1319859,0.000031
369969,430351,76,11.123,878364,502993,0.000023
446902,776043,99,855.238,1350117,409456,0.00004
130697,513895,6,1.005,1135458,22397,0.00005
534876,535174,80,694.449,545735,1141410,0.000008
1227,3322,100,11.68,220798,927917,0.000014
174406,616670,78,585.232,1325760,49520,0.000008
240159,240283,29,5.461,222019,827411,0.000029
1614,15263,20,163.479,831615,668714,0.000008
372883,718393,3,0.801,199750,32978,0.00002
161595,597474,88,593.848,298037,1261681,0.000036
263212,833620,84,24.505,1330035,553004,0.00001
1950,205851,48,442.968,162637,572269,0.000006
48830,302142,46,16.794,364424,207129,0.000054
592156,669132,59,558.246,515377,167771,0.000035
527813,1168631,61,20.674,44894,68191,0.000015
253227,641502,84,781.448,1374217,1201067,0.000034
14556,26893,30,13.316,268179,666653,0.000006
1223,15484,15,108.157,120888,940039,0.000035
602109,844601,78,27.872,788002,588825,0.000034
725,42020,22,138.228,92615,168281,0.000018
638,10292,30,13.187,705012,621604,0.000013
486488,623881,60,463.792,463814,297409,0.000013
281644,805895,86,25.84,977618,781831,0.000032
97617,139552,46,235.921,1264727,323978,0.000036
283867,768243,39,5.919,1247967,65010,0.000013
277863,1285691,2,4.462,504064,307259,0.000015
288606,473679,57,18.616,636240,315050,0.000014
161591,179026,73,260.537,360093,532364,0.000003
246763,762290,94,35.384,261852,1365899,0.000008
830882,862911,68,599.749,684125,228749,0.000008
138006,163802,86,34.132,778763,202543,0.000017
259780,606164,62,421.695,269155,907643,0.000003
814725,1028898,16,1.727,370083,706161,0.00001
1000865,1005718,83,551.07,755372,594306,0.00003
204660,405650,60,22.95,112333,973207,0.000145
1459,136226,25,214.162,325170,691671,0.000024
87212,418987,36,4.653,467752,99681,0.000018
81318,389059,42,135.007,436895,1009371,0.000033
43205,43961,48,20.081,1172192,403422,0.000007
242253,498584,5,27.61,67787,822286,0.000005
482048,1314178,82,37.462,80031,1129173,0.000023
91975,238764,81,567.136,1266270,15752,0.000005
37707,56548,5,2.257,805038,231900,0.000007
34960,522636,39,314.806,527342,716641,0.000063
244782,997989,26,4.531,1335476,307414,0.000018
279130,808450,96,200.187,758839,1287179,0.000047
236172,531765,58,27.789,1056188,1041835,0.000022
193792,199193,35,337.457,197855,14780,0.000121
2093,3933,16,5.135,661690,365763,0.000005
434160,752604,80,462.678,811474,443083,0.000025
249681,853451,32,15.582,495843,1036768,0.000008
239695,444095,20,165.874,1054795,1313246,0.000009
260802,919959,42,5.784,197483,302083,0.000029
417116,841519,46,169.707,66997,457439,0.000018
246947,693531,9,3.238,824244,134978,0.000004
222184,548804,90,263.046,652335,1172436,0.000014
700266,1179842,95,18.102,1379285,306456,0.000017
253,14163,41,355.288,1340363,115541,0.000007
219706,221111,58,18.504,267256,612231,0.000004
202234,576569,40,202.184,122330,1323771,0.00003
162574,600820,14,5.38,596124,850107,0.00001
19086,25776,40,123.511,667038,409181,0.000007
45520,48539,35,16.823,797339,127411,0.000016
43223,74867,92,729.739,831122,1032788,0.00003
814956,961815,31,10.384,535914,784345,0.000014
34916,780337,81,664.95,965845,1145079,0.000044
181870,190272,3,0.69,37580,370539,0.000012
129165,341096,3,16.834,333515,883599,0.000013
445764,728859,79,25.917,199323,722368,0.000014
203486,690992,94,856.65,691556,984847,0.000008
746697,1033823,100,31.71,976390,778508,0.000075
1749,20310,96,861.697,1000505,1371078,0.000009
344987,1048298,35,16.374,149070,1198234,0.000022
