change_v1,change_v2,change_w0,change_w1,query_v1,query_v2,query_time
48895,202939,28,62.857,352787,1508268,0.000014
1039,244245,57,19.958,127668,1286000,0.000005
74866,81962,14,35.313,539813,484054,0.000015
1009015,1132153,36,15.55,1151801,718596,0.000006
8087,172809,66,478.723,188383,1358628,0.000021
703395,859801,97,37.595,700552,1525825,0.000075
7747,36957,67,409.439,195236,1356074,0.000025
61016,607323,48,13.116,866904,877954,0.00001
125369,450856,88,566.043,1405132,423915,0.00002
888873,890594,12,3.893,89931,115444,0.000024
1616707,1679793,85,237.172,937602,793019,0.000009
9914,567448,92,28.623,842497,219432,0.000014
7579,184623,7,27.849,753166,1115981,0.000018
880180,959554,31,3.596,625702,133188,0.000031
7181,331297,79,774.588,438027,1643668,0.000076
279747,540286,28,10.123,1216887,1291688,0.000013
751396,1081562,75,328.355,80601,359746,0.000013
362065,651945,11,3.423,876759,837081,0.00001
1435592,1653570,90,562.075,279040,1433210,0.000032
765299,1411508,62,18.736,1555179,487636,0.000013
7868,269076,75,594.275,152312,547957,0.000038
6920,271127,81,17.515,524943,383493,0.000008
346509,688275,87,820.106,1684218,1087135,0.000027
825034,829799,71,28.473,1376251,112745,0.000034
1061768,1578129,23,95.311,592046,310863,0.000021
52865,650519,89,26.304,962368,1205835,0.000027
1106,260151,38,82.787,780486,621520,0.000007
200386,513853,89,26.861,69133,1343131,0.000004
7561,179072,19,183.355,1636301,844951,0.000008
201106,238620,87,25.042,1329414,1195026,0.000015
241085,421485,37,198.03,1084589,1558397,0.000011
1045037,1177265,37,4.837,1075417,605171,0.000027
9907,193296,94,929.621,71169,1595019,0.000007
7589,193972,14,5.527,1479652,231750,0.000025
272886,285794,26,249.373,853346,317593,0.000016
1192577,1433135,38,14.373,634621,1152593,0.000013
682,49721,93,438.143,889512,505034,0.000006
169093,245130,48,15.938,958893,1130764,0.000023
219171,475274,37,263.314,903712,986384,0.000015
375662,562814,11,4.31,640212,1207140,0.000017
730662,1206257,57,524.212,1458091,873599,0.000031
231207,247561,20,6.179,1238936,380784,0.000013
61230,65365,67,619.491,662996,464275,0.000026
102777,662781,87,29.876,1477492,880978,0.000036
35836,332746,43,400.03,547647,561324,0.000033
1039,246743,92,44.679,606346,1170074,0.000018
766,12495,19,43.693,1008796,1073956,0.000009
1064,257468,12,3.83,964911,722174,0.000014
169276,228426,76,604.142,367844,556658,0.000022
246726,509881,26,11.672,1449615,561059,0.000013
169093,179719,96,758.47,24917,114198,0.000023
92515,227782,45,9.605,106873,1425438,0.00004
217450,871866,41,304.413,1507128,1457889,0.000026
66879,713503,86,42.356,959165,1289955,0.000141
275740,275957,15,97.656,736352,219177,0.00002
165950,356771,19,4.028,688600,890928,0.000053
207890,623667,36,264.63,398387,679752,0.000007
789392,790068,84,36.374,1666717,996387,0.000027
7895,425487,21,141.242,362932,929419,0.000023
631,26987,48,8.522,520150,861990,0.000022
270241,423696,12,106.906,164577,1025793,0.000031
169093,169176,12,3.347,813571,1280520,0.000016
649418,1387290,29,236.881,807133,350196,0.000063
157332,661164,17,6.351,10625,71512,0.000005
7053,251496,80,223.514,404184,347630,0.000021
257677,591890,9,4.27,773537,110652,0.000027
125397,475348,77,442.242,852259,628840,0.000019
57935,676421,57,22.141,10556,850353,0.000021
970266,1550979,20,148.351,50889,735470,0.000009
779995,1470783,9,1.873,1177735,902794,0.000018
542800,662267,29,240.037,1513677,417753,0.000025
862475,1059914,100,13.102,1275638,430695,0.000081
10082,258450,68,489.791,828687,944895,0.000013
7540,106696,35,4.864,545460,546360,0.000036
384198,780231,45,434.387,1448750,1329824,0.00004
369124,370076,58,7.912,147946,1525573,0.000018
8080,189200,6,43.487,461813,1153375,0.00001
169380,426809,40,19.464,473237,462474,0.000011
120726,277077,15,131.991,1387579,1611292,0.000009
5569,244652,65,29.517,1597566,194624,0.000016
228946,1006416,53,491.411,1268938,1652550,0.000039
449675,1243299,88,35.949,1239607,391188,0.000017
7608,182213,56,267.123,1330647,239619,0.000025
403374,941594,89,8.974,1642223,587349,0.000046
7042,228266,53,258.204,1608746,250671,0.000045
572353,1322184,30,5.057,1058918,137570,0.000089
327873,546002,77,298.168,1378452,1513050,0.000039
11962,86494,78,31.612,1580239,339943,0.000022
7578,193203,4,22.163,598436,466742,0.000074
18400,259148,27,9.708,583921,131897,0.000017
24410,35075,50,185.203,912362,660506,0.000021
510828,708541,54,16.407,353043,1651247,0.000026
729049,1318145,4,31.684,783896,1196679,0.000024
453336,722216,18,4.268,1603282,1509977,0.000029
373391,594365,21,134.787,1147044,766565,0.000043
1265,275820,64,15.22,113293,1094466,0.000006
125377,594745,88,616.936,812460,1199289,0.000022
6736,72366,49,13.889,65060,894821,0.000004
100619,201682,85,805.751,1152634,1649554,0.00001
99195,627227,27,5.643,1110973,788509,0.000025
