change_v1,change_v2,change_w0,change_w1,change_time,query_v1,query_v2,query_time
118181,303513,86.000000,312.355000,0.398913,41840.000000,58551.000000,0.000112
286591,286592,80.000000,14.678000,0.134112,130515.000000,248826.000000,0.000069
85469,85470,66.000000,199.952000,0.047206,253827.000000,238372.000000,0.000073
117126,117134,77.000000,24.150000,0.509685,133649.000000,242174.000000,0.000115
20326,20349,75.000000,501.343000,0.162747,193377.000000,138427.000000,0.000101
296083,296084,40.000000,14.845000,0.088816,230321.000000,62464.000000,0.000085
11391,200901,93.000000,444.585000,0.991399,221363.000000,107961.000000,0.000069
298585,298586,44.000000,14.287000,0.157635,25561.000000,187359.000000,0.000053
166109,166112,60.000000,346.684000,0.001627,225784.000000,115306.000000,0.000036
261949,261952,63.000000,14.308000,0.252701,83326.000000,123588.000000,0.000081
91040,275763,100.000000,587.637000,0.111555,285239.000000,274416.000000,0.000194
97476,208995,100.000000,13.293000,1.265428,300729.000000,2134.000000,0.000030
125843,139437,90.000000,270.897000,1.162411,63337.000000,100574.000000,0.000290
250275,250277,60.000000,9.726000,0.086767,274146.000000,109576.000000,0.000062
250832,250833,90.000000,250.043000,0.699066,144304.000000,191572.000000,0.000102
138097,187291,100.000000,22.088000,0.209520,173147.000000,298957.000000,0.000143
162790,178184,84.000000,605.491000,0.158071,249951.000000,99690.000000,0.000066
197834,197840,83.000000,18.204000,0.157149,148923.000000,163152.000000,0.000139
9996,158491,88.000000,619.873000,0.780523,328303.000000,327735.000000,0.000180
108572,126044,96.000000,23.121000,0.680047,150020.000000,81276.000000,0.000094
234661,234662,75.000000,295.825000,0.250559,31733.000000,13017.000000,0.000084
84659,84661,91.000000,35.637000,1.168707,31941.000000,161081.000000,0.000205
78652,78690,97.000000,685.507000,1.151136,179595.000000,146374.000000,0.000199
54459,194847,72.000000,24.014000,2.654980,115344.000000,80431.000000,0.000298
18504,18564,96.000000,296.729000,6.856199,3614.000000,117512.000000,0.000024
88376,296522,80.000000,24.772000,0.234563,259212.000000,261184.000000,0.000051
50919,50931,95.000000,824.510000,0.074682,242720.000000,94185.000000,0.000096
11542,15265,84.000000,37.349000,4.366008,37603.000000,294375.000000,0.000247
2184,11609,100.000000,993.831000,0.350678,220057.000000,196873.000000,0.000142
1062,1063,93.000000,21.318000,1.973696,211351.000000,75873.000000,0.000113
196408,203627,95.000000,762.149000,4.934966,131332.000000,150371.000000,0.000103
93871,227607,96.000000,45.346000,1.182967,315062.000000,247475.000000,0.000057
95611,95638,91.000000,297.203000,1.204529,122749.000000,34513.000000,0.000235
17189,237031,66.000000,9.039000,0.084903,120089.000000,326397.000000,0.000098
175602,303748,88.000000,548.169000,0.012123,231103.000000,93078.000000,0.000088
85626,95671,71.000000,32.387000,1.882283,243153.000000,226097.000000,0.000047
19796,19800,78.000000,637.596000,3.432893,63875.000000,59691.000000,0.000226
108153,108166,78.000000,16.819000,0.192169,49555.000000,270909.000000,0.000075
137942,137950,90.000000,827.010000,0.194758,325652.000000,141605.000000,0.000074
182779,182783,83.000000,11.355000,0.145063,313742.000000,162728.000000,0.000125
55858,55862,71.000000,506.051000,0.742495,3957.000000,225186.000000,0.000015
235912,235915,66.000000,15.523000,0.091594,266810.000000,109447.000000,0.000113
136464,136493,100.000000,338.154000,0.658172,28565.000000,184329.000000,0.000090
95166,208821,76.000000,10.433000,1.061421,178710.000000,270017.000000,0.000117
109236,194586,64.000000,215.759000,0.776634,182375.000000,201855.000000,0.000132
230183,230186,86.000000,35.697000,0.835049,106021.000000,45239.000000,0.000095
158777,158778,55.000000,116.387000,0.401626,325880.000000,17.000000,0.000001
115609,115617,88.000000,36.141000,2.367856,273657.000000,107245.000000,0.000245
64454,196054,100.000000,955.190000,2.673041,119314.000000,46456.000000,0.000052
36168,246760,100.000000,35.321000,1.573784,272524.000000,115726.000000,0.000243
107539,107544,84.000000,531.846000,1.460194,46660.000000,231198.000000,0.000080
188658,253756,75.000000,31.062000,0.165739,153698.000000,188842.000000,0.000090
185853,295648,80.000000,775.564000,0.164407,25495.000000,158517.000000,0.000107
41531,193319,71.000000,23.064000,0.106307,303297.000000,306239.000000,0.000098
221202,221203,53.000000,151.872000,0.003097,121794.000000,108495.000000,0.000045
83752,83762,50.000000,11.860000,0.851712,65095.000000,14817.000000,0.000140
117985,117994,92.000000,919.770000,0.302883,233745.000000,165386.000000,0.000153
134525,211582,63.000000,11.860000,0.436903,294388.000000,52790.000000,0.000064
63328,63333,54.000000,277.711000,0.001686,246815.000000,296403.000000,0.000131
24851,169405,94.000000,20.216000,0.230581,187358.000000,195608.000000,0.000107
285704,285705,72.000000,352.841000,0.001822,201200.000000,305696.000000,0.000131
19882,73480,100.000000,49.538000,1.593444,332267.000000,121688.000000,0.000274
189108,298038,66.000000,477.199000,1.202274,108067.000000,259588.000000,0.000122
92537,92539,100.000000,36.308000,2.156056,131461.000000,168643.000000,0.000225
302366,302372,57.000000,507.863000,0.001419,318217.000000,232428.000000,0.000071
52160,159476,92.000000,20.645000,1.077092,114035.000000,333746.000000,0.000183
60359,60386,96.000000,268.759000,0.853819,136450.000000,123988.000000,0.000278
206017,278650,100.000000,27.559000,0.785628,181176.000000,203976.000000,0.000080
261790,261791,37.000000,269.047000,0.001252,146556.000000,295095.000000,0.000086
109612,287806,70.000000,14.734000,0.602538,11.000000,33797.000000,0.000001
92232,100832,100.000000,997.271000,3.401623,129400.000000,134304.000000,0.000227
92077,92093,94.000000,45.679000,0.765326,293504.000000,250762.000000,0.000026
72705,190122,100.000000,613.734000,1.257707,222166.000000,231908.000000,0.000102
375,407,58.000000,21.069000,0.192126,205674.000000,228290.000000,0.000082
72068,72071,87.000000,555.403000,0.084764,88089.000000,319760.000000,0.000234
5912,15005,100.000000,46.833000,0.416576,303715.000000,64371.000000,0.000308
34079,34081,62.000000,383.704000,0.716658,215684.000000,121116.000000,0.000143
45812,152822,100.000000,44.216000,1.939217,186364.000000,138015.000000,0.000222
239839,239844,80.000000,617.669000,2.167124,226215.000000,218604.000000,0.000348
130760,130766,73.000000,29.166000,0.485983,63701.000000,5277.000000,0.000057
110255,110268,66.000000,384.427000,0.093535,34987.000000,316029.000000,0.000170
38216,185864,96.000000,26.502000,0.082659,267134.000000,46955.000000,0.000061
322147,322148,80.000000,372.979000,0.000441,303489.000000,170225.000000,0.000076
175742,175744,53.000000,17.294000,0.079488,190378.000000,196216.000000,0.000086
76286,123036,78.000000,658.171000,0.165069,36599.000000,195941.000000,0.000139
115441,115442,75.000000,29.810000,1.110300,213523.000000,268807.000000,0.000236
34267,81601,100.000000,606.178000,0.002033,279434.000000,139055.000000,0.000197
69607,252011,100.000000,19.077000,6.176484,54831.000000,73832.000000,0.000299
253414,294050,80.000000,216.173000,2.078846,163308.000000,174595.000000,0.000081
92042,92043,86.000000,34.226000,3.080585,179044.000000,293573.000000,0.000266
23146,23177,90.000000,562.202000,0.001480,322494.000000,84266.000000,0.000092
107069,127213,98.000000,11.803000,4.337166,163136.000000,322399.000000,0.000252
97096,97108,75.000000,509.302000,2.003628,269878.000000,290483.000000,0.000070
278801,278802,60.000000,26.598000,0.104258,292733.000000,91086.000000,0.000115
71798,302928,90.000000,588.271000,0.243531,99596.000000,2075.000000,0.000013
23858,297110,77.000000,26.787000,0.418637,92221.000000,181526.000000,0.000367
61526,122889,97.000000,363.783000,0.315163,134480.000000,236401.000000,0.000180
228544,228546,70.000000,9.637000,0.206056,226471.000000,267523.000000,0.000135
150979,150991,60.000000,357.429000,0.216267,13643.000000,305604.000000,0.000040
86603,86617,84.000000,35.000000,0.081033,108080.000000,130078.000000,0.000041
