change_v1,change_v2,change_w0,change_w1,change_time,query_v1,query_v2,query_time
12035,78524,100.000000,533.920000,0.051125,277275.000000,144682.000000,0.000116
38127,40155,98.000000,28.384000,0.987876,77484.000000,145303.000000,0.000203
72484,271675,100.000000,978.085000,0.019442,317638.000000,54989.000000,0.000030
48170,64790,100.000000,41.425000,0.381471,80824.000000,222184.000000,0.000240
41920,96335,100.000000,806.840000,0.184845,332050.000000,129299.000000,0.000182
22784,72726,99.000000,43.781000,12.026412,281607.000000,28917.000000,0.000172
26850,95977,100.000000,423.367000,0.374906,306612.000000,197425.000000,0.000119
20735,58670,100.000000,30.702000,3.797542,105945.000000,123149.000000,0.000032
2995,82824,99.000000,676.849000,1.068764,1383.000000,20982.000000,0.000014
10804,73266,100.000000,49.784000,0.588779,211245.000000,143164.000000,0.000078
64342,65134,100.000000,915.191000,0.128573,73118.000000,69087.000000,0.000038
2828,99001,100.000000,47.716000,0.943891,245758.000000,178383.000000,0.000278
4293,14425,99.000000,203.177000,4.018786,148247.000000,74299.000000,0.000124
11842,77498,99.000000,43.549000,5.287523,53613.000000,335468.000000,0.000108
86447,207437,100.000000,260.780000,0.209419,3632.000000,168531.000000,0.000020
23463,76230,95.000000,45.247000,2.651323,182979.000000,315199.000000,0.000219
16051,101043,100.000000,358.010000,0.297236,157131.000000,44606.000000,0.000063
7666,91966,100.000000,22.903000,7.052784,6179.000000,191455.000000,0.000122
4538,56196,100.000000,832.239000,2.217361,219343.000000,35839.000000,0.000030
44991,98000,100.000000,22.022000,1.532360,74108.000000,285880.000000,0.000119
3519,24817,100.000000,335.977000,0.900311,30262.000000,316494.000000,0.000104
1178,48170,100.000000,26.361000,1.581889,40446.000000,194874.000000,0.000052
17823,50928,100.000000,942.158000,0.733259,173416.000000,25043.000000,0.000035
71900,268590,100.000000,41.728000,3.426549,148801.000000,187373.000000,0.000062
27764,104991,100.000000,586.781000,0.288251,230209.000000,20190.000000,0.000097
78227,255255,100.000000,49.687000,0.467839,74690.000000,250455.000000,0.000123
14425,91462,100.000000,669.800000,0.399339,244785.000000,47110.000000,0.000107
4850,65345,100.000000,11.269000,2.757602,108414.000000,234360.000000,0.000156
1572,7795,100.000000,671.059000,0.685947,79337.000000,338003.000000,0.000106
26581,85433,99.000000,20.705000,4.228820,63042.000000,117796.000000,0.000154
52359,64693,100.000000,437.427000,0.115458,103510.000000,97749.000000,0.000123
56223,161660,100.000000,49.816000,1.146058,44019.000000,237547.000000,0.000082
22246,29798,100.000000,908.459000,0.503656,21622.000000,207955.000000,0.000040
21051,118739,100.000000,14.274000,0.123326,204588.000000,215858.000000,0.000071
22271,91815,100.000000,925.393000,0.045582,315953.000000,215335.000000,0.000092
5992,90769,99.000000,23.003000,2.636065,318025.000000,101168.000000,0.000215
97172,213365,100.000000,569.682000,0.612305,290266.000000,301483.000000,0.000193
87290,226369,100.000000,46.143000,0.142106,126407.000000,76302.000000,0.000104
35471,127336,100.000000,709.721000,0.205682,234744.000000,326648.000000,0.000141
12212,79271,100.000000,25.191000,2.577797,18136.000000,64392.000000,0.000073
2824,20096,100.000000,349.984000,0.391303,331171.000000,153710.000000,0.000047
59844,225156,100.000000,31.156000,0.901302,194040.000000,273285.000000,0.000033
44342,199043,100.000000,501.403000,0.235925,273366.000000,309530.000000,0.000198
14425,92016,99.000000,43.618000,0.775919,231606.000000,70776.000000,0.000119
3738,77836,100.000000,800.199000,0.131183,154607.000000,244578.000000,0.000069
70322,208736,100.000000,34.791000,0.391275,304174.000000,226041.000000,0.000103
22204,123108,100.000000,451.958000,0.266719,155355.000000,223011.000000,0.000088
56837,134721,100.000000,30.159000,2.323061,254201.000000,216464.000000,0.000030
22745,58738,98.000000,735.108000,0.311205,211015.000000,10682.000000,0.000022
27191,119062,100.000000,38.593000,0.115950,89202.000000,246711.000000,0.000066
44435,52952,100.000000,581.894000,0.112153,148397.000000,246558.000000,0.000108
1323,51785,100.000000,23.971000,1.870019,201805.000000,115201.000000,0.000280
28335,28901,100.000000,732.326000,0.698092,124860.000000,101332.000000,0.000099
96127,322610,100.000000,38.532000,0.214905,122555.000000,85301.000000,0.000074
29444,98159,100.000000,382.478000,0.069777,337184.000000,26637.000000,0.000045
45992,55617,100.000000,28.028000,0.937715,19934.000000,46224.000000,0.000057
32019,82846,100.000000,321.400000,0.158540,176087.000000,205332.000000,0.000095
80494,88629,99.000000,15.470000,1.077247,328494.000000,96644.000000,0.000103
73686,94101,95.000000,848.041000,0.208901,204037.000000,36626.000000,0.000063
99791,165108,100.000000,20.996000,1.398340,340017.000000,160621.000000,0.000053
2829,91203,99.000000,852.281000,0.258767,227760.000000,130730.000000,0.000073
61037,74659,99.000000,27.057000,4.312120,84881.000000,307241.000000,0.000186
12307,42769,100.000000,916.823000,0.002129,273566.000000,289374.000000,0.000034
35700,81344,100.000000,14.123000,2.147095,261682.000000,6433.000000,0.000031
13657,82728,99.000000,252.545000,0.218280,243087.000000,238654.000000,0.000152
99989,140205,100.000000,16.874000,1.739041,97353.000000,148148.000000,0.000058
15807,45483,100.000000,607.431000,0.220947,239079.000000,33088.000000,0.000097
79153,105055,99.000000,45.315000,0.288200,268833.000000,19871.000000,0.000174
61479,164178,100.000000,393.144000,0.084797,112945.000000,155728.000000,0.000083
33868,114897,100.000000,29.634000,0.742762,186059.000000,100255.000000,0.000060
103446,272470,100.000000,680.545000,0.093709,293337.000000,250155.000000,0.000086
40335,83158,100.000000,13.243000,0.070730,106023.000000,63104.000000,0.000108
5787,89429,99.000000,415.541000,0.975812,320275.000000,321118.000000,0.000139
791,24429,99.000000,39.672000,0.212314,157819.000000,96331.000000,0.000039
37609,45925,100.000000,887.864000,0.557691,293526.000000,151397.000000,0.000209
18608,32206,100.000000,47.223000,2.512443,21447.000000,85161.000000,0.000096
15528,84110,100.000000,891.108000,0.856214,282865.000000,152514.000000,0.000055
15108,82760,99.000000,26.105000,0.069295,197120.000000,280868.000000,0.000107
1249,11226,100.000000,909.178000,1.507494,40519.000000,318278.000000,0.000121
37598,91366,100.000000,10.129000,1.593121,151253.000000,77263.000000,0.000038
81310,90325,100.000000,905.330000,0.074500,89662.000000,269107.000000,0.000143
3769,66835,100.000000,10.980000,1.038174,68912.000000,110265.000000,0.000066
11077,39767,98.000000,536.854000,0.059297,160060.000000,49041.000000,0.000085
13212,15094,100.000000,45.988000,0.311449,257107.000000,168253.000000,0.000024
15116,97130,100.000000,264.664000,0.012426,27103.000000,32647.000000,0.000011
85967,126297,100.000000,19.572000,0.124648,131786.000000,285617.000000,0.000107
1543,78066,100.000000,309.572000,0.219149,288107.000000,124483.000000,0.000046
11770,62116,100.000000,20.112000,3.472214,340167.000000,27350.000000,0.000107
12728,83079,100.000000,711.791000,0.216462,130467.000000,177679.000000,0.000107
54650,85951,100.000000,28.871000,1.809005,193048.000000,200010.000000,0.000041
1165,89279,100.000000,794.752000,0.057106,62695.000000,95774.000000,0.000079
65937,70578,100.000000,17.913000,1.138337,69608.000000,155003.000000,0.000081
12159,84416,99.000000,246.064000,0.312978,55644.000000,164416.000000,0.000072
34939,40054,91.000000,28.010000,0.113392,320871.000000,164366.000000,0.000128
36097,135799,99.000000,349.487000,0.108256,305394.000000,183596.000000,0.000060
70545,98014,100.000000,13.104000,0.120264,316009.000000,243633.000000,0.000048
5060,37094,99.000000,506.693000,0.512714,302952.000000,107510.000000,0.000191
9333,71271,99.000000,26.554000,4.165329,33335.000000,46954.000000,0.000102
3516,21662,100.000000,313.203000,0.463450,112342.000000,284249.000000,0.000029
20857,118150,100.000000,33.659000,0.083001,164560.000000,291070.000000,0.000328
