change_v1,change_v2,change_w0,change_w1,change_time,query_v1,query_v2,query_time
55838,299058,100.000000,797.951000,0.400705,319327.000000,1051147.000000,0.000079
185682,599045,99.000000,42.237000,0.987871,1091641.000000,212669.000000,0.000169
77350,79827,100.000000,547.417000,3.250986,533581.000000,39394.000000,0.000009
296629,407493,96.000000,44.725000,1.541243,756709.000000,779113.000000,0.000183
491212,509914,94.000000,838.441000,0.651882,1359062.000000,1212816.000000,0.000212
1443,135116,100.000000,13.078000,0.084435,520641.000000,829072.000000,0.000077
1959,14131,98.000000,640.523000,0.288180,905997.000000,53889.000000,0.000069
208312,707237,100.000000,26.727000,1.446051,98192.000000,235189.000000,0.000008
1131,73278,100.000000,869.176000,18.902182,864146.000000,277239.000000,0.000092
242519,1069584,100.000000,21.319000,1.103644,239963.000000,1365354.000000,0.000091
586082,900185,100.000000,679.465000,1.311169,705014.000000,747877.000000,0.000220
142865,215948,99.000000,11.199000,53.356031,1149394.000000,495016.000000,0.000036
795626,922721,100.000000,630.348000,71.258343,921437.000000,504584.000000,0.000151
136424,532824,100.000000,19.677000,0.281198,43636.000000,725045.000000,0.000044
158013,584075,100.000000,649.045000,0.221218,704605.000000,763022.000000,0.000082
129405,236988,100.000000,39.920000,1.363997,851830.000000,1343094.000000,0.000267
536232,545832,94.000000,703.404000,3.442257,91545.000000,382887.000000,0.000056
1660,6029,100.000000,43.743000,2.754966,817501.000000,1280400.000000,0.000308
403062,670351,100.000000,888.502000,11.844842,1370169.000000,843626.000000,0.000073
12,462,98.000000,42.502000,1.180162,1206552.000000,1023547.000000,0.000439
1656,164315,100.000000,840.085000,5.280516,1386147.000000,28530.000000,0.000027
658431,797458,100.000000,39.449000,8.853620,107240.000000,498283.000000,0.000032
471,2457,99.000000,764.554000,0.002196,1258011.000000,625587.000000,0.000289
177744,624960,100.000000,43.416000,0.649196,1300023.000000,847936.000000,0.000412
82234,395067,99.000000,716.368000,2.658951,884340.000000,973804.000000,0.000258
929,52630,100.000000,28.526000,0.898130,662979.000000,1385093.000000,0.000094
595045,658345,100.000000,916.735000,1.150924,684743.000000,1388995.000000,0.000165
204543,693985,100.000000,37.378000,0.493284,644686.000000,137177.000000,0.000033
365344,1059648,94.000000,333.672000,0.925542,1206626.000000,481376.000000,0.000049
556526,767075,100.000000,46.569000,0.531381,1048831.000000,917323.000000,0.000148
243110,935989,99.000000,240.412000,0.498825,938365.000000,1282830.000000,0.000148
308105,444345,100.000000,26.503000,0.238522,1200089.000000,646853.000000,0.000144
76362,180913,100.000000,578.443000,1.119591,1205121.000000,1173214.000000,0.000038
261033,1155467,98.000000,46.538000,0.079796,47494.000000,902841.000000,0.000021
58461,233800,98.000000,265.998000,2.244445,620050.000000,668796.000000,0.000118
133536,522657,98.000000,20.994000,0.094224,999504.000000,1224475.000000,0.000286
1256,95666,100.000000,675.681000,0.243469,1048858.000000,1325894.000000,0.000158
202484,681661,100.000000,20.699000,0.920793,1217644.000000,1169340.000000,0.000498
175698,621347,100.000000,314.615000,0.754436,1064734.000000,1044971.000000,0.000310
512,10705,99.000000,10.462000,0.839038,588033.000000,1109772.000000,0.000150
488715,636198,96.000000,523.899000,3.390985,840584.000000,506689.000000,0.000281
774117,1060845,96.000000,29.790000,0.533830,694052.000000,446013.000000,0.000159
1839,156993,99.000000,410.998000,1.094623,799917.000000,742874.000000,0.000374
489257,1040766,100.000000,40.069000,2.163898,892956.000000,24409.000000,0.000076
337897,393803,100.000000,288.284000,0.469372,829790.000000,1048862.000000,0.000051
174773,618419,100.000000,30.428000,0.262447,1219076.000000,535521.000000,0.000435
136471,533173,100.000000,539.863000,0.830975,13372.000000,407604.000000,0.000057
341210,1314981,100.000000,35.958000,0.405964,367409.000000,32542.000000,0.000023
76413,370425,100.000000,841.882000,0.707223,890190.000000,373000.000000,0.000128
38088,38542,99.000000,11.616000,0.049675,1040224.000000,449890.000000,0.000161
335,8068,98.000000,958.730000,0.036082,1056026.000000,348843.000000,0.000111
1734,148977,99.000000,26.027000,0.110950,1068063.000000,136921.000000,0.000245
234609,1046056,100.000000,545.903000,0.142952,1084039.000000,1216869.000000,0.000192
2079,222446,100.000000,40.251000,0.190559,52407.000000,576147.000000,0.000060
37644,161258,100.000000,722.862000,1.073863,410278.000000,434471.000000,0.000149
770618,949685,94.000000,46.580000,0.605832,784089.000000,207397.000000,0.000023
118,1452,97.000000,707.102000,0.979764,235054.000000,703053.000000,0.000189
195727,278419,100.000000,20.774000,1.730643,251945.000000,1372547.000000,0.000103
584944,1354710,100.000000,311.996000,0.957044,1334930.000000,194315.000000,0.000075
236349,1116155,99.000000,20.779000,0.788524,165952.000000,1036757.000000,0.000022
23025,23104,98.000000,582.311000,0.011706,865224.000000,136724.000000,0.000027
295132,302134,100.000000,32.937000,0.910212,601593.000000,975475.000000,0.000146
238162,1072080,100.000000,970.836000,0.281830,1134874.000000,899924.000000,0.000162
64769,340997,99.000000,15.434000,0.903273,1134745.000000,89613.000000,0.000020
77834,136198,100.000000,421.253000,2.750783,1124316.000000,559460.000000,0.000177
178901,560525,100.000000,17.687000,0.124103,172040.000000,1122207.000000,0.000027
205874,230462,100.000000,638.029000,0.097303,324130.000000,398330.000000,0.000016
32602,539337,99.000000,23.072000,0.293487,1300360.000000,552438.000000,0.000179
296171,1166656,100.000000,594.191000,0.924356,446971.000000,868925.000000,0.000441
175782,622101,100.000000,30.820000,0.195902,758125.000000,188128.000000,0.000039
144456,567827,100.000000,594.029000,0.948961,1171971.000000,746303.000000,0.000155
308227,441914,100.000000,21.606000,25.845473,1397957.000000,28633.000000,0.000012
1669,196110,100.000000,697.080000,34.281747,403180.000000,1312322.000000,0.000149
232894,712741,98.000000,16.458000,8.446238,1337312.000000,1348124.000000,0.000035
435957,458964,100.000000,561.416000,0.282393,646075.000000,623952.000000,0.000256
1686,143874,99.000000,17.021000,0.050099,406968.000000,1122957.000000,0.000129
351192,380828,100.000000,256.036000,0.197520,596732.000000,690445.000000,0.000165
615,2197,98.000000,30.225000,0.801018,1141577.000000,1049321.000000,0.000166
63928,339714,96.000000,810.780000,4.090225,921834.000000,165746.000000,0.000170
130246,511830,100.000000,45.472000,0.340327,951701.000000,335621.000000,0.000390
211830,589748,100.000000,753.957000,0.681356,47799.000000,1076713.000000,0.000016
365999,627501,87.000000,38.891000,0.753485,972065.000000,684977.000000,0.000380
1864,176001,100.000000,813.593000,17.298704,475078.000000,395039.000000,0.000102
136576,217062,100.000000,43.829000,0.786295,866298.000000,105173.000000,0.000063
58171,328354,99.000000,510.382000,0.176990,61463.000000,816966.000000,0.000066
336025,974744,100.000000,17.695000,0.453623,1162771.000000,1155208.000000,0.000063
1012,8678,97.000000,313.187000,0.627279,544717.000000,418098.000000,0.000056
21457,175856,96.000000,29.101000,0.769485,868783.000000,1074527.000000,0.000386
344557,855644,100.000000,412.034000,2.046428,1024216.000000,503193.000000,0.000072
302690,926732,100.000000,26.609000,0.079215,391253.000000,691759.000000,0.000075
277451,287963,100.000000,836.901000,0.090449,892820.000000,666174.000000,0.000046
252794,585622,100.000000,20.903000,2.004442,95742.000000,618817.000000,0.000113
75806,250793,100.000000,723.992000,0.900279,926673.000000,270669.000000,0.000036
323037,823537,100.000000,18.178000,1.204280,213043.000000,1137095.000000,0.000174
