change_v1,change_v2,change_w0,change_w1,change_time,query_v1,query_v2,query_time
637640,1046562,87.000000,409.877000,0.329825,629975.000000,420326.000000,0.000158
901353,1253702,100.000000,15.872000,0.146820,1131435.000000,424758.000000,0.000203
232903,529007,98.000000,284.691000,0.162939,2337.000000,229107.000000,0.000019
7754,43386,99.000000,31.032000,4.389032,1637675.000000,945479.000000,0.000299
235068,267302,89.000000,187.502000,0.007184,306655.000000,867048.000000,0.000043
393314,1205021,100.000000,26.556000,0.656330,320679.000000,239956.000000,0.000096
1168717,1340106,100.000000,345.991000,0.132401,1468421.000000,1646635.000000,0.000182
717902,1435298,99.000000,35.002000,0.296607,216203.000000,928060.000000,0.000074
324641,501401,98.000000,282.146000,0.068400,689372.000000,950581.000000,0.000103
201465,908519,99.000000,21.785000,0.147601,1255666.000000,741545.000000,0.000382
7804,236778,99.000000,337.922000,0.444024,1663389.000000,960507.000000,0.000122
1033195,1570734,71.000000,11.161000,0.242799,1144237.000000,596172.000000,0.000313
11206,73003,96.000000,409.566000,0.487637,297038.000000,537372.000000,0.000043
72899,201180,99.000000,10.973000,28.633157,1189356.000000,241763.000000,0.000197
8371,208081,99.000000,776.438000,0.586970,262362.000000,1264701.000000,0.000227
60519,71483,98.000000,22.346000,79.650957,1107184.000000,442245.000000,0.000155
5386,8472,96.000000,910.609000,33.463988,1551136.000000,1646411.000000,0.000126
498797,807133,100.000000,36.829000,0.620775,1191435.000000,999357.000000,0.000385
6679,369636,100.000000,458.759000,3.957638,116056.000000,1053460.000000,0.000047
275811,1028692,100.000000,33.216000,1.099967,1018057.000000,1025204.000000,0.000188
7117,271705,99.000000,716.751000,0.046779,315249.000000,1212406.000000,0.000078
34842,428803,99.000000,19.537000,4.125376,1271130.000000,74094.000000,0.000112
799429,1393513,96.000000,373.189000,5.234957,1039012.000000,52603.000000,0.000059
169206,252163,99.000000,34.541000,0.264292,301666.000000,791829.000000,0.000117
8020,180984,100.000000,821.458000,0.007085,600869.000000,1586992.000000,0.000052
72523,413643,99.000000,30.757000,4.895912,593103.000000,1640603.000000,0.000250
68023,388285,92.000000,524.217000,4.804696,1632695.000000,1220621.000000,0.000286
