change_v1,change_v2,change_w0,change_w1,change_time,query_v1,query_v2,query_time,neo4j_update_time,neo4j_project_time,neo4j_query_time,neo4j_drop_time
17860,17879,80.0,776.814,0.002977,5342.0,21517.0,1e-06,0.2622123998589813,0.1200275658629834,1.001718945801258,0.0499809472821652
3348,4957,87.0,30.5,0.02812,10197.0,15813.0,2e-05,0.0375427757389843,0.0150287207216024,0.1438171863555908,0.0146307838149368
254,13621,95.0,836.723,0.004533,7850.0,6948.0,2.3e-05,0.0088135609403252,0.015651439782232,0.0634585567750036,0.0139299207367002
12441,16706,88.0,22.804,0.014858,4838.0,9784.0,1.7e-05,0.0131224300712347,0.0133870807476341,0.0591015480458736,0.0124963140115141
2319,13890,66.0,398.607,0.001835,20888.0,16238.0,1.2e-05,0.00822015106678,0.0134630752727389,0.055428247898817,0.0128328050486743
5411,14478,92.0,31.711,0.027948,16506.0,19947.0,1.2e-05,0.0072911651805043,0.0121188662014901,0.0490521830506622,0.0128895253874361
10631,14277,53.0,143.94,0.004872,18200.0,7360.0,1.7e-05,0.0059404480271041,0.0124606029130518,0.0547878118231892,0.0115060829557478
1424,1471,86.0,14.394,0.044359,16546.0,9567.0,2.6e-05,0.0061248140409588,0.0111965616233646,0.0485086399130523,0.0120324376039206
5362,5371,54.0,448.833,0.004415,22192.0,16031.0,5e-06,0.0072795557789504,0.0122349639423191,0.0515548940747976,0.0116907767951488
1987,5847,91.0,10.41,0.030281,4397.0,13855.0,1.3e-05,0.0062330281361937,0.0118531030602753,0.0547480769455432,0.0123222800903022
1262,3571,86.0,745.212,0.003287,6358.0,8620.0,2.2e-05,0.0104186092503368,0.0104080280289053,0.0496828206814825,0.010539342649281
1428,8136,80.0,36.336,0.019024,21566.0,20286.0,4e-06,0.0061730328015983,0.0110800401307642,0.0457561067305505,0.0102155301719903
1616,6221,86.0,327.946,0.013486,6671.0,14950.0,1.3e-05,0.005671305116266,0.0094915176741778,0.044064300134778,0.0100077143870294
15533,17446,37.0,5.657,0.004439,16081.0,5855.0,1.1e-05,0.0675669526681304,0.0113285169936716,0.0478528831154108,0.0100167081691324
15218,21532,73.0,278.447,0.037552,4587.0,8394.0,2.2e-05,0.0057110767811536,0.0097111272625625,0.0472836336120963,0.0100585450418293
10766,10770,66.0,27.621,0.018371,19956.0,19421.0,2e-06,0.0075296820141375,0.0125194350257515,0.0454995399340987,0.0100860451348125
20420,21483,50.0,148.893,0.002615,22555.0,11739.0,2.1e-05,0.0055735390633344,0.0127254393883049,0.043050616979599,0.0095249041914939
1881,2218,97.0,41.196,0.013678,18116.0,9256.0,1.3e-05,0.0057225399650633,0.0105545138940215,0.0431046090088784,0.0092371022328734
5573,15668,79.0,213.288,0.001698,21072.0,13876.0,1.3e-05,0.0054500019177794,0.0099693601951003,0.0437751049175858,0.0101244230754673
935,7549,89.0,34.949,0.004838,8555.0,6767.0,4e-06,0.0056200139224529,0.0098665659315884,0.0442719119600951,0.0097838751971721
10311,13005,90.0,794.799,0.019223,4911.0,15323.0,2.4e-05,0.0053494269959628,0.0108320070430636,0.0457466840744018,0.0093140467070043
799,6278,73.0,26.262,0.023586,7644.0,1718.0,1.1e-05,0.0057106399908661,0.0104669001884758,0.0462148529477417,0.0095601798966526
14067,14079,38.0,377.022,0.001583,16013.0,14339.0,1.7e-05,0.0052482080645859,0.0095227491110563,0.0406467323191463,0.0131353330798447
4224,7984,95.0,19.901,0.005999,9703.0,19018.0,1.1e-05,0.0054864529520273,0.009161960799247,0.0443305163644254,0.0086307828314602
