change_v1,change_v2,change_w0,change_w1,change_time,query_v1,query_v2,query_time,neo4j_update_time,neo4j_project_time,neo4j_query_time,neo4j_drop_time
5354,16412,100.0,735.514,0.028265,1671.0,3528.0,1.4e-05,0.2832596860826015,0.1232283450663089,1.05637598503381,0.0573408612981438
23511,46597,94.0,46.97,0.030917,24143.0,14729.0,2.5e-05,0.0229757158085703,0.0174925411120057,0.1013724021613597,0.0135800018906593
2851,61233,100.0,750.904,0.138712,15906.0,3614.0,6e-06,0.0222357450984418,0.0142940720543265,0.092588216997683,0.0120980651117861
28759,30053,100.0,11.044,0.113686,22827.0,46400.0,2.5e-05,0.0091985240578651,0.0115047371946275,0.0705844908952713,0.0123628936707973
10595,49728,100.0,605.974,0.115734,40770.0,44105.0,8.5e-05,0.0100476378574967,0.0152429351583123,0.0633687870576977,0.0136522771790623
9902,52604,100.0,41.545,0.55688,6715.0,30312.0,3.9e-05,0.0100603071041405,0.012567379977554,0.0622686319984495,0.0115438047796487
12897,23288,100.0,667.267,0.081191,7517.0,2784.0,1.9e-05,0.0091441562399268,0.0111384359188377,0.059256512671709,0.0108829461969435
26885,31976,100.0,25.1,0.605024,13006.0,37976.0,2e-05,0.0089684277772903,0.0101906252093613,0.056999993044883,0.0107870362699031
55169,55330,100.0,738.411,0.211767,29355.0,18168.0,4.6e-05,0.0083421701565384,0.0099651608616113,0.1331631010398268,0.0104114562273025
3552,19880,97.0,42.49,0.309836,46324.0,10502.0,6.6e-05,0.0070199929177761,0.009424171410501,0.0521150548011064,0.0138061228208243
3543,52136,100.0,674.686,0.242873,58948.0,38699.0,7.3e-05,0.0133495917543768,0.0096364119090139,0.0510066961869597,0.0107071222737431
22645,22647,100.0,35.465,0.475321,40704.0,16062.0,0.000147,0.0074018887244164,0.0098240920342504,0.0543846846558153,0.0092437067069113
41453,48376,100.0,903.622,0.126159,15204.0,8495.0,1.7e-05,0.0069239228032529,0.0090964222326874,0.049395372159779,0.0102059124037623
29607,37480,100.0,19.211,0.378096,1024.0,58578.0,1e-05,0.0075631360523402,0.0095414309762418,0.0544080818071961,0.0108991861343383
3008,31674,100.0,545.237,0.167609,57416.0,6750.0,1e-05,0.0082227308303117,0.0103106801398098,0.0614109579473733,0.0095235928893089
57386,57564,95.0,25.292,0.529984,60667.0,61836.0,2.9e-05,0.0085353427566587,0.0095292427577078,0.0566500150598585,0.010463295970112
32308,32611,100.0,365.371,0.108357,47076.0,28107.0,5.1e-05,0.0078950230963528,0.0097296717576682,0.0644424138590693,0.0102025009691715
28091,32924,100.0,32.174,0.487897,16343.0,10524.0,1e-05,0.0075715286657214,0.0102396081201732,0.0640649148263037,0.0096100261434912
39409,40337,100.0,582.953,0.295225,36751.0,37931.0,3.1e-05,0.0084465662948787,0.0102675990201532,0.088027894962579,0.0098412679508328
30163,35284,97.0,13.315,0.392892,51500.0,47129.0,0.000194,0.0068100579082965,0.0096229477785527,0.0516239390708506,0.0101214488968253
10308,56263,100.0,417.574,0.113941,17130.0,25869.0,4.1e-05,0.0076158242300152,0.0095511078834533,0.048673678189516,0.0096459169872105
28066,40867,95.0,30.529,0.298098,44512.0,41056.0,5.3e-05,0.0073208445683121,0.0084036169573664,0.0541842761449515,0.0093965483829379
43342,60018,100.0,618.959,0.125052,10893.0,56265.0,3.9e-05,0.0080984579399228,0.008936520665884,0.050380861852318,0.0138114001601934
10587,13701,100.0,36.45,0.301566,8431.0,59282.0,7.6e-05,0.0082150222733616,0.0095962570048868,0.0479563688859343,0.0089834691025316
33776,34429,100.0,784.561,0.059404,8504.0,40481.0,1.7e-05,0.0087232822552323,0.0095490268431603,0.0459990743547678,0.0095863458700478
17893,32069,100.0,47.972,0.111426,43714.0,10667.0,2.1e-05,0.0074395309202373,0.0081538669764995,0.0952561437152326,0.0098968371748924
31575,32988,100.0,696.19,0.064186,28347.0,42361.0,0.000105,0.0082285520620644,0.0088417520746588,0.0810868018306791,0.0089823631569743
3345,7172,100.0,40.172,0.066593,60842.0,26974.0,4.5e-05,0.008476251270622,0.0087745250202715,0.0806150892749428,0.0093461372889578
33306,36578,100.0,779.82,0.093332,3579.0,54540.0,2.1e-05,0.0084285559132695,0.0090162339620292,0.0593487489968538,0.0084026898257434
43245,51901,100.0,24.577,0.420985,38099.0,14763.0,4.4e-05,0.0077211037278175,0.0101167340762913,0.0675954641774296,0.008611787110567
50271,50726,100.0,954.503,0.105633,14574.0,47411.0,4.1e-05,0.0089845079928636,0.0092048672959208,0.0575682520866394,0.008619830943644
51110,51882,100.0,48.389,0.149113,342.0,59827.0,8e-06,0.0085132652893662,0.0099311117082834,0.0588956046849489,0.0088574192486703
42867,51318,100.0,694.201,0.066365,52306.0,60.0,1e-06,0.0090116020292043,0.0082355230115354,0.0561349322088062,0.0081950733438134
9552,31715,100.0,29.812,0.536508,36639.0,59504.0,0.000118,0.0080989361740648,0.0087100029923021,0.0586254349909722,0.0087925540283322
34546,35584,100.0,939.929,0.126795,28649.0,54476.0,6.1e-05,0.0086560803465545,0.0080407932400703,0.0605247593484818,0.0082202339544892
9167,23460,100.0,13.741,0.673638,15983.0,62179.0,8.4e-05,0.007743686903268,0.008884048089385,0.0591542860493063,0.0083512067794799
9661,12613,100.0,769.409,0.109017,40343.0,20027.0,4.7e-05,0.0076169669628143,0.0091148009523749,0.0554157039150595,0.0081721087917685
29212,32201,100.0,18.259,0.508054,5001.0,16627.0,1.4e-05,0.0075637521222233,0.0075612780638039,0.0493017132394015,0.0078857401385903
5118,5470,100.0,458.556,0.096301,33020.0,16818.0,2.7e-05,0.0077253258787095,0.0078846011310815,0.0503299329429864,0.0090204332955181
45410,52133,100.0,21.99,0.214792,45189.0,2849.0,1.5e-05,0.0085061388090252,0.0080723450519144,0.0464227092452347,0.0085356491617858
61904,62416,100.0,734.949,0.147499,26783.0,58824.0,3.3e-05,0.0078526060096919,0.0075817159377038,0.0641635358333587,0.0082690110430121
1863,9803,100.0,47.717,0.227749,10500.0,24661.0,4.8e-05,0.0081213451921939,0.0092152706347405,0.0580528369173407,0.0089565180242061
14821,51339,100.0,820.006,0.10219,46803.0,7124.0,2.1e-05,0.0082729631103575,0.0075254519470036,0.0552742439322173,0.008225692436099
38556,38836,100.0,37.64,0.113562,11721.0,11047.0,7e-06,0.0071013779379427,0.0083460258319973,0.0569593487307429,0.008233212865889
1145,4323,100.0,833.401,0.309667,25589.0,40686.0,3.4e-05,0.0075084390118718,0.0084042949602007,0.052598460111767,0.0082738348282873
21979,54231,100.0,10.516,0.427687,21327.0,52885.0,4.2e-05,0.0074061038903892,0.007442511152476,0.0515982178039848,0.0085925189778208
58397,59600,100.0,696.469,0.113243,21365.0,12015.0,2.9e-05,0.0081226811744272,0.0077876183204352,0.0542405289597809,0.0086547820828855
35539,48827,100.0,25.391,0.609862,22043.0,16295.0,6.2e-05,0.0071139219217002,0.0096906307153403,0.0543462736532092,0.0083478852175176
19740,27193,95.0,290.291,0.149449,56952.0,41118.0,6.3e-05,0.0082333860918879,0.0073791570030152,0.0475378730334341,0.0084341652691364
4318,42969,100.0,16.066,0.28716,49039.0,13850.0,4.2e-05,0.0073560439050197,0.0083137908950448,0.0514945401810109,0.008632160257548
33592,34582,100.0,832.744,0.115663,58479.0,29216.0,7.7e-05,0.0077363955788314,0.0080794771201908,0.0477105886675417,0.0081811002455651
38936,61008,100.0,13.165,0.351842,27496.0,18547.0,0.000102,0.0079100760631263,0.0076232980936765,0.0520962700247764,0.0085822632536292
29022,37498,100.0,221.721,0.15802,8498.0,56443.0,1.9e-05,0.0073203188367187,0.0080615528859198,0.0494553721509873,0.008684208150953
8351,31738,100.0,26.849,0.364843,42564.0,4586.0,5.7e-05,0.006998844910413,0.007404482923448,0.0496548428200185,0.008879933040589
9384,16315,100.0,390.053,0.15579,28284.0,60371.0,2.3e-05,0.0076948967762291,0.0076705082319676,0.051833972800523,0.0082293241284787
