change_v1,change_v2,change_w0,change_w1,query_v1,query_v2,query_time,neo4j_update_time,neo4j_project_time,neo4j_query_time,neo4j_drop_time
7838,176658,77,356.515,316726,269445,5.9e-05,0.3090265206992626,0.1342368479818105,1.3477163300849495,0.0501036872155964
119116,248435,38,14.066,171426,101232,6e-06,0.0353445368818938,0.0138350678607821,0.1736405021511018,0.0148407937958836
52517,52540,56,116.532,290497,99199,5.1e-05,0.030365141108632,0.01362896990031,0.1639046920463442,0.0134999798610806
206916,206919,76,15.903,80515,121636,2.1e-05,0.0302409743890166,0.0124729177914559,0.2220466677099466,0.0129229333251714
169894,296076,48,245.313,96261,85498,5.7e-05,0.0257999198511242,0.0121821956709027,0.1519918078556656,0.0128818219527602
231538,261747,10,3.806,220553,329517,0.00013,0.024935033172369,0.010694864206016,0.1487130862660706,0.0121846483089029
58008,173785,9,59.246,149746,41382,8.9e-05,0.0274718082509934,0.0106748901307582,0.1532703121192753,0.0121372211724519
69084,69087,81,16.522,250919,117984,2.6e-05,0.0258967722766101,0.0113574629649519,0.1520178718492388,0.011517385020852
259908,259909,84,203.074,203006,124242,3e-05,0.0283283339813351,0.0118342046625912,0.1724911169148981,0.0107944868505001
218348,218357,2,0.709,281976,91219,4.1e-05,0.0250037410296499,0.0098513378761708,0.1582783642224967,0.016062231734395
32338,32341,93,238.443,301831,77581,1.8e-05,0.0310629191808402,0.0105613162741065,0.1485521206632256,0.011985728982836
54618,54621,17,8.189,29073,324844,0.000101,0.02588447695598,0.0111244269646704,0.149491888936609,0.0104390741325914
148670,148680,95,241.818,258284,238084,0.000145,0.0274194236844778,0.0105888498947024,0.1580544360913336,0.0107098170556128
111667,273504,43,16.289,257299,297577,0.000129,0.0270643969997763,0.0098970010876655,0.1456904099322855,0.0111592048779129
39159,39160,9,44.884,197956,89071,0.000117,0.0253593414090573,0.0094074988737702,0.1455466873012483,0.0107167921960353
191340,331883,55,26.879,266348,20585,5.9e-05,0.02577371802181,0.009280864149332,0.1461268840357661,0.0096471942961215
103307,131693,83,822.076,230905,32172,6.8e-05,0.0266818981617689,0.0092320907860994,0.1452347761951387,0.0176236247643828
155665,155668,13,2.441,24339,300390,7.2e-05,0.0249661221168935,0.0098775383085012,0.1939240316860377,0.0107773370109498
37909,37910,8,65.107,132573,212980,3.9e-05,0.0260867779143154,0.0099374903365969,0.1441154447384178,0.0104368813335895
838,74626,94,39.941,94257,327231,3.7e-05,0.0262565901502966,0.0096935527399182,0.1456267153844237,0.0101234470494091
117461,216355,48,403.454,320276,307412,0.000118,0.0314698521979153,0.008947062306106,0.1441508280113339,0.0104796760715544
246528,299018,81,36.013,13980,54533,2.9e-05,0.0250084963627159,0.0088390801101922,0.1437121727503836,0.0100319487974047
83092,175091,79,388.381,14887,310492,2.4e-05,0.0264640566892921,0.00901416875422,0.1439683390781283,0.0095353731885552
52665,81325,49,23.954,243761,94000,0.000116,0.0261881649494171,0.0093352808617055,0.1438702992163598,0.0100706238299608
84595,84624,87,665.086,37263,332574,3e-05,0.0305423708632588,0.0082648978568613,0.143848399631679,0.0095152659341692
51007,136432,71,9.405,96555,301495,7.2e-05,0.0267513459548354,0.0084325880743563,0.1446835622191429,0.0097914021462202
97062,97066,66,557.737,119723,260519,1.5e-05,0.0276095531880855,0.0082873129285871,0.1399485752917826,0.0097812968306243
9071,9073,6,2.011,324436,301961,3e-05,0.0266392841003835,0.0091547681950032,0.1445738039910793,0.0099303238093853
38484,129192,87,285.953,255995,301536,5.9e-05,0.0271737398579716,0.0090688648633658,0.1391536453738808,0.009136663749814
257106,257108,72,27.329,315439,114240,7.8e-05,0.0266186916269361,0.0082548758946359,0.1436518412083387,0.0146412961184978
16866,16924,31,64.899,222609,70822,2.3e-05,0.0296607469208538,0.0152316349558532,0.1440469357185065,0.0091882608830928
20612,20614,6,2.101,56519,135009,5.2e-05,0.0243243621662259,0.0105578829534351,0.1457749009132385,0.0102888359688222
11135,11136,82,392.763,225570,257654,4.4e-05,0.0275842421688139,0.0080449050292372,0.1433032951317727,0.0097357560880482
102869,130478,2,0.453,130210,141306,8.6e-05,0.0265030497685074,0.008496344089508,0.134541243314743,0.0094134737737476
113009,113010,100,249.599,180043,64562,3e-05,0.0259153665974736,0.0078803217038512,0.1365093812346458,0.0088865542784333
12676,30078,29,4.515,206035,29286,5.5e-05,0.0258208089508116,0.0088408878073096,0.1429795040749013,0.0091505469754338
88106,173165,55,397.358,61090,184136,5.1e-05,0.0255339499562978,0.0082068839110434,0.1412273743189871,0.0100665977224707
73129,91851,10,3.785,253906,96645,4.3e-05,0.023115050047636,0.0083950120024383,0.1432356480509042,0.0091427592560648
149960,287360,30,128.444,142487,174315,7.5e-05,0.0258812992833554,0.0089480420574545,0.1446574740111827,0.0092631299048662
197095,197096,23,6.71,223705,20185,4.6e-05,0.0241249040700495,0.0077455071732401,0.1361912568099796,0.0088719851337373
112455,112456,98,671.42,24174,226790,3.1e-05,0.0248107928782701,0.0074163870885968,0.1436968920752406,0.0086060976609587
38436,241217,13,1.362,74401,172439,4.3e-05,0.0250456859357655,0.0083022550679743,0.1449422463774681,0.0095180231146514
69828,118443,42,243.87,27855,142879,8e-05,0.0254213036969304,0.0082354550249874,0.1428795442916453,0.0086582158692181
213645,255725,56,17.494,28480,201448,2.5e-05,0.0257753641344606,0.0079139987938106,0.143215037882328,0.0091399820521473
214301,214310,9,66.147,255536,107981,6.9e-05,0.0249400101602077,0.007727931253612,0.1433610799722373,0.0088432799093425
180343,221395,34,14.675,180195,100428,9e-05,0.0238938611000776,0.0076152621768414,0.1402175864204764,0.008385547902435
303442,303446,59,563.585,157299,226079,0.000121,0.025303728878498,0.0077266050502657,0.1403932101093232,0.0080047831870615
118811,185575,53,12.277,315389,226086,5.1e-05,0.0238456511870026,0.0076386998407542,0.1422609440051019,0.0080782179720699
12666,29943,69,471.529,36770,9135,2.2e-05,0.0237697251141071,0.0075046638958156,0.1394803132861852,0.0079671521671116
42538,42541,90,11.608,256337,225725,2.9e-05,0.0243569943122565,0.0069949519820511,0.1330346721224486,0.0082387826405465
247191,247194,95,880.337,208651,307540,4.6e-05,0.0245374906808137,0.0072148400358855,0.1399681903421878,0.0083199278451502
46611,52488,93,11.739,198244,108339,0.000119,0.0241146078333258,0.0070788348093628,0.1333725280128419,0.0078502148389816
4220,265678,42,366.274,36471,110321,3.3e-05,0.025291153229773,0.0068820337764918,0.1426038122735917,0.0082982890307903
69646,69712,1,0.353,273494,284827,4.1e-05,0.0251678121276199,0.0073682102374732,0.1396138612180948,0.0086028440855443
228706,228725,2,10.677,172522,304335,1.9e-05,0.0238809930160641,0.0070593520067632,0.1391234560869634,0.0079720667563378
135318,210819,25,2.506,40125,191821,7.5e-05,0.0247189188376069,0.0068241250701248,0.1401917776092887,0.0080061396583914
93662,271568,88,182.613,141039,107946,8.9e-05,0.0253038490191102,0.0071137608028948,0.1394349979236722,0.0079156411811709
7895,7903,89,33.949,68323,152605,3.7e-05,0.0253568682819604,0.0071466187946498,0.140460236929357,0.0077674961648881
182268,188225,60,189.221,248222,165172,4.5e-05,0.0239654849283397,0.0072831311263144,0.1464086822234094,0.0089104240760207
4197,58390,98,18.187,17802,261214,3.7e-05,0.0250639491714537,0.0079728751443326,0.1411778517067432,0.0085857440717518
271191,271196,99,353.659,119390,309750,5e-05,0.0266941948793828,0.0074403099715709,0.1409981083124876,0.0081326537765562
61656,68264,58,11.77,304994,2563,2.8e-05,0.0245079169981181,0.0071429829113185,0.1353741916827857,0.0083615179173648
47682,107419,22,151.449,78409,220105,2.6e-05,0.0244675739668309,0.007147962693125,0.1406694208271801,0.0087072402238845
54558,136312,67,26.163,298987,245672,3.2e-05,0.0263803489506244,0.0081399828195571,0.1345407953485846,0.008049882017076
19604,64242,51,346.571,68253,311288,6.8e-05,0.0258446168154478,0.0071961311623454,0.1326436852104962,0.0080946115776896
213605,213613,28,11.054,9530,132125,1.8e-05,0.0230665849521756,0.0068122651427984,0.1429029242135584,0.0079157878644764
320095,320103,96,200.825,139691,182599,4e-05,0.0239425669424235,0.0067899660207331,0.1368191391229629,0.0075941500253975
140684,188340,12,2.977,35656,321471,0.000156,0.0239644381217658,0.0066991033963859,0.1475563077256083,0.0078372312709689
210441,210445,62,552.233,244076,111761,8.8e-05,0.0250316462479531,0.0075997309759259,0.1397982649505138,0.0077539281919598
55657,156104,82,27.017,14370,23326,3.9e-05,0.0236180457286536,0.006639352068305,0.1336009036749601,0.0076648700051009
2628,12493,26,123.267,273857,240720,4.4e-05,0.0245070019736886,0.0066516869701445,0.1368732769042253,0.0074873710982501
93664,93665,65,19.024,106904,126568,0.000168,0.0246379459276795,0.006590771023184,0.1372309518046677,0.0074645499698817
90817,118296,35,348.934,38248,126343,5e-05,0.0239217230118811,0.0068025011569261,0.1342646591365337,0.0078611262142658
139969,139976,50,11.297,8775,97294,7.3e-05,0.0244736960157752,0.0072816307656466,0.1403928999789059,0.0084340223111212
49054,169212,95,353.872,68164,229138,6.3e-05,0.0280239670537412,0.0073753506876528,0.1336977439932525,0.0082683782093226
41200,41208,25,2.852,327724,129026,0.00015,0.0249256249517202,0.0085629522800445,0.1421492490917444,0.0096627110615372
64244,162684,17,163.953,148114,261589,3.1e-05,0.035473050083965,0.0099928202107548,0.1372665441595018,0.007550704292953
261709,305932,46,17.536,65272,320842,7.9e-05,0.0224736016243696,0.0068935267627239,0.1318434001877904,0.0124409911222755
142551,142567,42,240.181,163274,258042,0.000201,0.0231968872249126,0.0073614669963717,0.133029693737626,0.0078966608271002
275733,289274,12,1.44,43995,71513,5e-05,0.0245471117086708,0.0067163072526454,0.1361048417165875,0.007725290954113
12415,24392,60,444.228,273030,181487,0.000115,0.0258417320437729,0.006675471086055,0.1299482122994959,0.0079155378043651
17126,17129,33,6.585,296137,221552,0.000228,0.0231829360127449,0.0065500796772539,0.1381225930526852,0.0075136977247893
93516,93522,78,376.829,35055,286081,2.9e-05,0.0243286141194403,0.0068672359921038,0.1356331603601575,0.0075326133519411
