change_v1,change_v2,change_w0,change_w1,query_v1,query_v2,query_time,neo4j_update_time,neo4j_project_time,neo4j_query_time,neo4j_drop_time
911,10140,62,269.947,5480,7002,3e-06,0.263196718879044,0.1231205337680876,1.0027702138759196,0.055519422981888
16979,16981,86,35.264,13078,21150,4e-06,0.0301942592486739,0.0146290441043674,0.0981582370586693,0.0136621766723692
2513,3173,33,282.604,6770,23060,3e-06,0.006529897917062,0.0152393663302063,0.0946813630871474,0.0125489579513669
20927,20928,90,37.223,8315,16840,6e-06,0.0070086843334138,0.0119694578461349,0.0629705311730504,0.0131573909893631
1426,13260,16,157.477,9634,9610,1e-05,0.006182886660099,0.0129050160758197,0.0531181236729025,0.0226026712916791
12584,14805,35,17.468,2440,2640,9e-06,0.0081431111320853,0.0216744947247207,0.056286531034857,0.011556580197066
3938,7612,29,273.89,7950,4042,4e-06,0.005992411635816,0.0121626211330294,0.0536733958870172,0.0118362456560134
29,1515,29,3.231,3780,17751,7e-06,0.0055213840678334,0.0110182240605354,0.0512424237094819,0.0113811423070728
17737,18437,80,396.477,3598,771,8e-06,0.0058587118983268,0.0104845748282969,0.0497021810151636,0.0108154630288481
22782,22784,27,8.629,22942,22104,1e-06,0.0055341753177344,0.0105386772193014,0.0575436730869114,0.0120966890826821
640,946,66,268.444,5841,7691,3e-06,0.0107325627468526,0.0113192410208284,0.051586833782494,0.0109440293163061
6052,15661,67,21.275,5943,11396,5e-06,0.0065103359520435,0.0112292459234595,0.047559626866132,0.0139896841719746
949,7536,25,207.775,6522,10853,7e-06,0.0064500086009502,0.0103062577545642,0.0485489848069846,0.0149179901927709
549,4511,85,29.621,20186,6679,6e-06,0.006278689019382,0.0103428666479885,0.044643176253885,0.0104604950174689
6102,12335,14,90.413,2249,6560,5e-06,0.0061506032943725,0.0099031897261738,0.0433317492716014,0.0094152251258492
2964,7980,88,18.943,13815,15597,4e-06,0.0071919187903404,0.0106951612979173,0.0699193198233842,0.0100755780003964
10085,11618,27,190.453,7845,16212,1e-05,0.0051683131605386,0.0087752710096538,0.0377536169253289,0.0094448430463671
50,55,10,2.025,7617,9085,5e-06,0.0057721040211617,0.009762633126229,0.0416843369603157,0.0098621170036494
448,10433,20,165.595,560,7585,5e-06,0.0053230160847306,0.0098980949260294,0.0429503982886672,0.0109383328817784
132,155,65,9.694,18114,22930,2e-06,0.006544716656208,0.0096219661645591,0.0419353069737553,0.0099458452314138
99,2896,77,460.153,4573,6503,4e-06,0.0057126320898532,0.0096155740320682,0.0389396352693438,0.0101745189167559
4228,16327,79,26.174,570,4851,4e-06,0.0057147368788719,0.0092910141684114,0.045295407064259,0.0105743850581347
15618,18185,55,305.661,3601,11316,4e-06,0.005114069674164,0.0087572908960282,0.0441726692952215,0.0101713859476149
1182,1355,98,42.862,11102,12378,6e-06,0.0054801069200038,0.0092712840996682,0.0457197856158018,0.0096378796733915
4910,20075,64,448.173,16063,22161,6e-06,0.0057734372094273,0.0096508399583399,0.0438291169703006,0.0090572219341993
20636,20643,70,28.38,22338,14280,3e-06,0.0058126430958509,0.0096349259838461,0.0453279889188706,0.0090908538550138
892,902,81,580.856,11820,21323,3e-06,0.0051307301037013,0.0092821731232106,0.0445500202476978,0.0099644768051803
1351,1372,22,4.16,16521,14883,1e-05,0.0055225966498255,0.0089932670816779,0.062795135192573,0.0110231158323585
9613,14600,25,227.642,17145,15091,9e-06,0.0042466530576348,0.0115613089874386,0.0424097022041678,0.0081902150996029
8195,12714,12,3.683,20432,7507,3e-06,0.0039647640660405,0.0073076509870588,0.0404117861762642,0.0085418433882296
8672,11237,41,277.194,15382,3467,5e-06,0.0044293417595326,0.0077894139103591,0.0410463172011077,0.0085730259306728
10311,14364,86,23.149,1267,4298,2e-06,0.0050734938122332,0.0103333611041307,0.0441303346306085,0.0088058770634233
18782,18793,58,296.497,19581,22725,1e-06,0.0053568561561405,0.0090724099427461,0.0456546251662075,0.0088454224169254
1337,2111,88,39.207,10620,3889,3e-06,0.0052234879694879,0.0086180227808654,0.0415359078906476,0.0085310409776866
8997,13058,58,318.734,7350,8342,3e-06,0.0047576888464391,0.0080415676347911,0.047845093999058,0.0090097351931035
7553,7555,97,33.053,14420,20928,1e-06,0.0053979530930519,0.0081315813586115,0.0449940292164683,0.009325660765171
21855,21856,36,210.851,2726,14874,7e-06,0.0048430599272251,0.0081557370722293,0.0411354871466755,0.0086843059398233
4416,11492,10,2.211,13324,4217,1.8e-05,0.005148927681148,0.0081761246547102,0.043405104894191,0.0084876427426934
322,8403,86,236.806,13021,2063,1e-05,0.0050408062525093,0.0090033132582902,0.044115066062659,0.0090531432069838
22322,22326,12,2.086,22482,14714,4e-06,0.0051336819306015,0.008777841925621,0.0426046224310994,0.0088070472702384
6176,11035,28,246.572,8511,19340,3e-06,0.0052558910101652,0.0086803371086716,0.0377349527552723,0.0083292452618479
