change_v1,change_v2,change_w0,change_w1,query_v1,query_v2,query_time,neo4j_update_time,neo4j_project_time,neo4j_query_time,neo4j_drop_time
203486,277792,67,631.195,1119470,1089473,6e-06,0.3625117149204016,0.1265937951393425,1.961171068251133,0.0482578151859343
1621,1923,4,1.875,645630,885024,3.7e-05,0.1131939990445971,0.0165589260868728,0.5197927239350975,0.0136502617970108
1259,6222,96,370.263,147719,167395,7e-06,0.093056296929717,0.0140618318691849,0.4737088549882173,0.014373717829585
47835,299248,58,18.774,1137171,717941,1.8e-05,0.0966677572578191,0.0129454578272998,0.4230727292597294,0.0250168181955814
477,10701,62,185.457,515000,424267,1e-05,0.0929963230155408,0.0199331347830593,0.4806078630499542,0.0144513421691954
28507,267458,2,0.897,1220728,538060,1.4e-05,0.094605416059494,0.0141151547431945,0.4325655959546566,0.0141504672355949
279381,384537,61,160.295,940299,643988,4.1e-05,0.0928837228566408,0.0136163858696818,0.4242810290306806,0.0147559493780136
478390,1164249,59,9.78,200926,1155465,9e-06,0.0960795399732887,0.0119292549788951,0.5116878328844905,0.012464087922126
441734,723156,35,217.251,824040,197663,9.5e-05,0.0919632068835198,0.0118547468446195,0.4221648848615587,0.0125999879091978
262589,1085038,86,32.525,649241,1262226,8e-06,0.0939296218566596,0.011590626090765,0.4494097051210701,0.0123655498027801
1591,150374,56,462.234,1207621,1144573,1.3e-05,0.0949028409086167,0.0118981809355318,0.4498877469450235,0.0127367516979575
321,10908,71,25.154,971356,58862,4e-06,0.0906846448779106,0.0177332581952214,0.4375763493590057,0.0120105589739978
88822,424760,48,218.811,536521,856627,9e-06,0.0919348299503326,0.0115208001807332,0.4459372861310839,0.0119960489682853
95576,182500,47,7.923,459535,878955,1.9e-05,0.0926653346978128,0.0116290259175002,0.4360874411650002,0.0114428317174315
219839,351611,60,508.215,892928,621416,3e-06,0.0895887007936835,0.0107536148279905,0.4491948671638965,0.0109325372613966
108,1559,82,36.82,943867,181734,2.8e-05,0.0935588600113987,0.0106145851314067,0.4407168310135603,0.0116919297724962
714222,1065775,7,17.593,866399,1335710,7e-06,0.0947986477985978,0.0107885031029582,0.4529848657548427,0.0111563988029956
