change_v1,change_v2,change_w0,change_w1,query_v1,query_v2,query_time,neo4j_update_time,neo4j_project_time,neo4j_query_time,neo4j_drop_time
48895,202939,28,62.857,352787,1508268,1.4e-05,0.4094098708592355,0.126370832324028,3.1977941072545946,0.0503747011534869
1039,244245,57,19.958,127668,1286000,5e-06,0.11732965009287,0.0149350939318537,1.3854750590398908,0.0148787638172507
74866,81962,14,35.313,539813,484054,1.5e-05,0.1072207288816571,0.0146615249104797,1.366062369197607,0.0148500497452914
1009015,1132153,36,15.55,1151801,718596,6e-06,0.1059326808899641,0.0149442041292786,1.3901418820023537,0.0183640266768634
8087,172809,66,478.723,188383,1358628,2.1e-05,0.1100702080875635,0.0143348430283367,1.4922806867398322,0.0156777501106262
703395,859801,97,37.595,700552,1525825,7.5e-05,0.1065810727886855,0.0132790580391883,1.3907343982718885,0.0139888762496411
7747,36957,67,409.439,195236,1356074,2.5e-05,0.1205388624221086,0.0133233722299337,1.3283487847074866,0.0138345602899789
61016,607323,48,13.116,866904,877954,1e-05,0.1076464620418846,0.0128449029289186,1.3665840979665518,0.0133527861908078
125369,450856,88,566.043,1405132,423915,2e-05,0.1035493272356689,0.0134215126745402,1.3566954471170902,0.014086106326431
888873,890594,12,3.893,89931,115444,2.4e-05,0.1051405067555606,0.0136646921746432,1.350007636938244,0.0125274709425866
1616707,1679793,85,237.172,937602,793019,9e-06,0.1080206353217363,0.0187892313115298,1.3634875640273094,0.014093407895416
9914,567448,92,28.623,842497,219432,1.4e-05,0.108145538251847,0.0139410640113055,1.351484031882137,0.0123419063165783
7579,184623,7,27.849,753166,1115981,1.8e-05,0.1043952913023531,0.012653088197112,1.35501619707793,0.0141432271338999
880180,959554,31,3.596,625702,133188,3.1e-05,0.1068358249031007,0.013488435652107,1.3592841462232172,0.0128089138306677
7181,331297,79,774.588,438027,1643668,7.6e-05,0.1043889001011848,0.0123383956961333,1.3283465239219368,0.0119593809358775
279747,540286,28,10.123,1216887,1291688,1.3e-05,0.1080522960983216,0.0111937508918344,1.3389391009695828,0.0121442908421158
751396,1081562,75,328.355,80601,359746,1.3e-05,0.1097857770510017,0.0113313002511858,1.322846011724323,0.0120667167939245
362065,651945,11,3.423,876759,837081,1e-05,0.1039405902847647,0.0117483660578727,1.3332525887526572,0.0119758103974163
1435592,1653570,90,562.075,279040,1433210,3.2e-05,0.1026984727941453,0.0116887409240007,1.321504990104586,0.0121234897524118
765299,1411508,62,18.736,1555179,487636,1.3e-05,0.1041538771241903,0.0116447480395436,1.3137696497142315,0.0116172921843826
7868,269076,75,594.275,152312,547957,3.8e-05,0.102902612183243,0.0112422239035367,1.3278737259097395,0.0115872900933027
6920,271127,81,17.515,524943,383493,8e-06,0.1018682620488107,0.011061246972531,1.3097140528261662,0.011259258724749
346509,688275,87,820.106,1684218,1087135,2.7e-05,0.1075372300110757,0.0112466081045567,1.3239793609827757,0.0116098779253661
825034,829799,71,28.473,1376251,112745,3.4e-05,0.1040553511120379,0.0111197559162974,1.3329312889836729,0.0113201523199677
1061768,1578129,23,95.311,592046,310863,2.1e-05,0.1036762306466698,0.0109357349574565,1.3184834523126483,0.0110604502260684
52865,650519,89,26.304,962368,1205835,2.7e-05,0.1025633700191974,0.0104580679908394,1.3145816749893129,0.0107565079815685
1106,260151,38,82.787,780486,621520,7e-06,0.1039277738891542,0.0101397451944649,1.3254923452623188,0.0139868799597024
200386,513853,89,26.861,69133,1343131,4e-06,0.1531890388578176,0.0111315161921083,1.667729659937322,0.0109420740045607
7561,179072,19,183.355,1636301,844951,8e-06,0.1022305940277874,0.0105411359108984,1.306756571866572,0.0106950849294662
201106,238620,87,25.042,1329414,1195026,1.5e-05,0.1056893211789429,0.0098983668722212,1.3087329510599377,0.0109369652345776
